Geneid	CeACtrl	CeAMor	dStrCtrl	dStrMor	NAcCtrl	NAcMor
Xkr4	568	541	555	379	666	485
Gm39585	86	72	248	182	127	82
Gm38717	0	0	0	0	0	0
Rp1	0	0	0	0	0	0
Sox17	0	0	0	0	0	0
LOC108167609	0	0	0	0	0	0
Gm39586	0	0	0	0	0	0
LOC108167610	0	0	0	0	0	0
Gm29874	0	0	0	0	0	0
Mrpl15	74	118	145	68	115	89
Lypla1	85	40	33	34	46	76
Gm39587	0	0	1	0	0	0
Tcea1	281	126	191	187	237	219
Rgs20	73	63	129	117	69	68
Gm16041	8	7	47	40	19	18
Atp6v1h	503	435	415	327	423	337
Oprk1	80	142	206	165	206	219
Npbwr1	22	34	3	0	4	7
LOC108167788	0	0	0	4	6	0
4732440D04Rik	66	106	95	94	129	53
Rb1cc1	690	540	479	523	663	434
Fam150a	0	0	0	0	0	0
LOC108167611	0	0	0	0	0	3
St18	15	20	58	29	60	50
Pcmtd1	432	429	632	477	530	439
Gm26901	25	22	34	23	45	6
Gm39589	0	0	0	0	0	0
Sntg1	136	155	169	107	146	125
Gm30719	0	0	0	0	0	0
Rrs1	30	45	26	9	31	5
Adhfe1	6	12	5	8	25	24
2610203C22Rik	0	8	3	1	0	0
3110035E14Rik	61	41	49	39	44	37
Mybl1	5	21	4	6	13	9
Vcpip1	537	506	413	372	504	406
1700034P13Rik	0	0	0	0	0	0
Gm39590	3	0	0	0	0	0
Sgk3	78	63	187	183	178	105
Mcmdc2	77	96	85	80	88	57
Snhg6	14	17	6	16	14	14
Snord87	7	12	3	2	7	1
Tcf24	0	1	1	1	0	0
Ppp1r42	6	12	4	2	7	6
Cops5	144	91	111	110	114	110
Cspp1	140	158	182	176	195	143
Arfgef1	532	518	583	584	669	576
Cpa6	0	0	2	0	0	4
Prex2	155	178	245	168	244	144
A830018L16Rik	379	293	256	170	336	326
Gm30898	5	13	4	11	29	2
Gm30974	0	0	0	0	0	0
Gm39591	0	0	0	0	0	0
Mir6341	0	0	0	0	0	0
Gm17644	0	0	0	0	0	0
Sulf1	89	56	31	24	115	97
Slco5a1	46	40	83	33	71	67
Gm39592	0	0	0	0	0	0
Prdm14	0	0	0	0	0	0
Ncoa2	507	503	423	477	510	427
Gm39595	0	0	0	0	0	0
Tram1	84	79	30	50	93	60
Lactb2	46	48	35	13	43	23
Xkr9	0	0	0	0	0	0
Gm5523	0	1	1	0	0	0
Gm31195	0	0	0	0	0	0
Gm39596	0	0	0	0	0	0
Eya1	21	17	21	20	14	2
Msc	0	0	0	0	0	0
LOC105243866	0	12	0	1	5	7
Trpa1	0	0	0	0	0	0
Kcnb2	121	125	99	81	151	160
Terf1	61	72	99	88	103	41
Sbspon	19	15	32	2	11	26
Gm31523	0	0	0	0	0	0
Gm7634	0	0	0	0	0	0
4930444P10Rik	0	2	0	1	3	1
Rpl7	283	297	206	146	224	255
Rdh10	18	51	37	34	56	56
Stau2	366	281	307	261	273	253
LOC102634042	0	8	3	2	0	2
Ube2w	297	283	268	236	214	318
LOC108167614	47	67	108	116	80	67
Tceb1	254	121	179	129	185	208
D030040B21Rik	0	0	0	3	0	0
Tmem70	82	72	39	40	66	74
Ly96	3	6	0	2	0	0
Jph1	62	69	55	79	58	40
LOC108167615	11	6	9	8	7	1
Gm31982	0	0	1	2	0	0
Gm28783	20	11	0	10	3	13
Gdap1	282	374	310	204	358	258
Gm28784	0	0	7	5	6	8
Gm39597	0	0	0	0	0	0
Pi15	0	13	1	9	0	0
Gm28154	0	0	2	1	5	0
Gm16070	0	2	1	0	0	0
Crispld1	10	20	62	29	18	24
Gm28153	0	1	6	2	0	5
Crisp4	0	0	0	0	0	0
Defb44-ps	0	0	0	0	0	0
Defb18	0	0	0	0	0	0
Defb41	0	0	0	0	0	0
Gm15825	0	0	0	0	0	0
Tfap2d	3	0	0	0	0	0
Tfap2b	0	0	0	0	0	0
Gm32651	0	0	0	0	0	0
Pkhd1	0	0	2	0	0	0
4930486I03Rik	0	0	0	0	0	0
Linc-md1	0	0	0	0	0	0
Mir206	0	0	0	0	0	0
Mir133b	0	0	0	0	0	0
Il17a	0	0	0	0	0	0
Il17f	0	0	0	0	0	0
Mcm3	3	3	0	2	5	4
6720483E21Rik	0	0	0	0	0	0
Paqr8	100	126	150	147	137	114
Efhc1	5	1	0	0	4	10
Tram2	0	1	0	0	1	0
Tmem14a	27	47	44	22	52	38
Gm32947	0	2	1	7	2	0
Gm28836	0	0	1	1	3	0
Gsta3	0	4	6	6	5	5
Gm4956	0	0	0	0	0	0
Khdc1a	0	0	0	0	0	0
Khdc1c	0	0	0	0	0	0
Gm33147	0	0	0	0	0	0
Khdc1b	1	2	0	0	0	0
Kcnq5	419	506	546	535	684	533
Rims1	239	221	323	344	309	227
Gm7759	0	0	0	0	0	0
4933415F23Rik	0	0	0	0	0	0
Gm30442	0	0	1	0	0	0
Gm29506	0	0	0	0	0	0
Mir30a	4	0	17	1	2	0
Mir30c-2	3	0	9	6	4	1
Ogfrl1	371	279	338	339	411	268
Gm19673	0	0	0	0	0	0
Gm28822	0	0	0	0	0	0
B3gat2	10	14	23	22	43	38
Smap1	136	110	113	117	104	86
Gm26524	0	0	0	1	0	0
Sdhaf4	37	16	8	14	30	28
Fam135a	155	158	301	221	191	129
Col9a1	0	0	0	0	0	0
Col19a1	13	8	70	46	15	5
Lmbrd1	473	364	510	385	617	464
Gm29414	0	0	0	0	0	0
Adgrb3	1136	1063	1110	796	1128	833
Gm20172	29	2	7	15	6	7
LOC108167844	15	27	30	29	27	32
Gm39614	0	0	0	0	0	0
Gm31076	0	0	0	0	0	0
Gm31136	0	0	0	0	0	0
4931408C20Rik	0	0	0	0	0	0
Gm5524	0	0	0	0	0	0
Gm7846	0	0	0	0	2	0
Gm597	0	0	0	0	0	0
LOC108167331	0	0	0	0	0	0
Mir6342	0	0	0	0	0	0
