# Program:featureCounts v2.0.1; Command:"featureCounts" "-p" "-O" "-T" "12" "-g" "gene_id" "--ignoreDup" "-a" "/grid/li/data/Leo/RNA-seq/reference_genome/mm10.ncbiRefSeq.gtf" "-o" "AllSamples_featureCounts_output.txt" "CeACtrlAligned.sortedByCoord.rmdup.bam" "CeAMorAligned.sortedByCoord.rmdup.bam" "NAcCtrlAligned.sortedByCoord.rmdup.bam" "NAcMorAligned.sortedByCoord.rmdup.bam" "dStrCtrlAligned.sortedByCoord.rmdup.bam" "dStrMorAligned.sortedByCoord.rmdup.bam" 
Geneid	CeACtrlAligned.sortedByCoord.rmdup.bam	CeAMorAligned.sortedByCoord.rmdup.bam	NAcCtrlAligned.sortedByCoord.rmdup.bam	NAcMorAligned.sortedByCoord.rmdup.bam	dStrCtrlAligned.sortedByCoord.rmdup.bam	dStrMorAligned.sortedByCoord.rmdup.bam
Xkr4	198	240	293	204	238	183
Gm39585	31	37	63	32	99	77
Gm38717	0	0	0	0	0	0
Rp1	0	0	0	0	0	0
Sox17	0	0	0	0	0	0
LOC108167609	0	0	0	0	0	0
Gm39586	0	0	0	0	0	0
LOC108167610	0	0	0	0	0	0
Gm29874	0	0	0	0	0	0
Mrpl15	30	54	51	38	55	38
Lypla1	28	19	20	24	18	23
Gm39587	0	0	0	0	2	0
Tcea1	91	65	113	75	76	96
Rgs20	30	28	45	35	69	59
Gm16041	4	4	10	9	18	25
Atp6v1h	153	191	206	150	199	174
Oprk1	29	60	109	91	77	76
Npbwr1	6	13	4	4	2	0
LOC108167788	0	0	3	0	0	4
4732440D04Rik	25	42	56	23	36	56
Rb1cc1	213	239	289	187	214	248
Fam150a	0	0	0	0	0	0
LOC108167611	0	0	0	1	0	0
St18	2	9	28	19	24	20
Pcmtd1	162	176	257	175	255	234
Gm26901	9	11	25	6	18	16
Gm39589	0	0	0	0	0	0
Sntg1	59	76	86	59	88	59
Gm30719	0	0	0	0	0	0
Rrs1	14	21	15	2	13	6
Adhfe1	5	7	10	5	3	6
2610203C22Rik	1	2	2	0	2	1
3110035E14Rik	24	19	22	18	19	24
Mybl1	2	6	6	5	2	4
Vcpip1	207	245	247	182	190	172
1700034P13Rik	8	19	6	12	11	8
Gm39590	1	0	0	0	0	0
Sgk3	36	26	73	39	76	87
Mcmdc2	27	46	48	30	40	51
Snhg6	12	11	14	12	8	14
Snord87	8	9	7	2	3	2
Tcf24	0	1	0	0	1	1
Ppp1r42	3	3	2	2	2	2
Cops5	49	47	58	46	48	50
Cspp1	42	67	93	61	74	89
Arfgef1	211	263	313	240	268	282
Cpa6	0	0	0	1	1	0
Prex2	60	73	113	60	98	85
A830018L16Rik	126	125	177	133	106	79
Gm30898	3	6	11	2	1	4
Gm30974	0	0	0	0	0	0
Gm39591	0	0	0	0	0	0
Mir6341	0	0	0	0	0	0
Gm17644	0	0	0	0	0	0
Sulf1	28	28	54	42	19	17
Slco5a1	19	23	41	27	36	16
Gm39592	0	0	0	0	0	0
Prdm14	0	0	0	0	0	0
Ncoa2	179	234	253	187	201	237
Gm39595	0	0	0	0	0	0
Tram1	34	35	45	25	15	21
