CeA_Ctrl	CeA_Mor	dStr_Ctrl	dStr_Mor	NAc_Ctrl	NAc_Mor
ENSMUSG00000102693.2	0	0	0	0	0	0
ENSMUSG00000064842.3	0	0	0	0	0	0
ENSMUSG00000051951.6	271	288	281	228	330	214
ENSMUSG00000102851.2	0	0	1	0	0	0
ENSMUSG00000103377.2	16	21	52	78	30	37
ENSMUSG00000104017.2	4	15	69	58	41	13
ENSMUSG00000103025.2	0	8	5	7	12	8
ENSMUSG00000089699.2	0	0	0	0	0	0
ENSMUSG00000103201.2	2	1	17	14	27	5
ENSMUSG00000103147.2	0	0	1	0	0	0
ENSMUSG00000103161.2	21	24	49	40	38	13
ENSMUSG00000102331.2	16	20	91	92	65	27
ENSMUSG00000102348.2	4	0	0	0	0	2
ENSMUSG00000102592.2	0	0	0	0	0	0
ENSMUSG00000088333.4	0	0	0	0	0	0
ENSMUSG00000102343.2	0	0	0	0	0	0
ENSMUSG00000025900.14	0	0	0	0	0	0
ENSMUSG00000102948.2	0	0	0	0	0	0
ENSMUSG00000104123.2	0	0	0	0	0	0
ENSMUSG00000025902.14	0	0	0	0	0	0
ENSMUSG00000104238.2	0	0	0	0	0	0
ENSMUSG00000102269.2	0	0	0	0	0	0
ENSMUSG00000118917.1	2	1	1	2	0	0
ENSMUSG00000103003.2	0	0	0	0	0	0
ENSMUSG00000104328.2	0	0	0	0	0	0
ENSMUSG00000102735.2	0	0	0	0	0	0
ENSMUSG00000098104.2	1	0	0	3	0	0
ENSMUSG00000102175.2	1	0	0	0	0	0
ENSMUSG00002075947.1	0	0	0	0	0	0
ENSMUSG00000103265.2	0	0	0	0	0	0
ENSMUSG00000103922.2	1	1	10	0	0	0
ENSMUSG00000033845.14	86	139	162	86	142	118
ENSMUSG00000102275.2	13	7	12	2	13	3
ENSMUSG00000120403.1	20	5	1	10	13	16
ENSMUSG00000025903.15	64	47	43	24	49	70
ENSMUSG00000104217.2	0	0	0	0	0	0
ENSMUSG00000033813.16	175	98	157	149	174	177
ENSMUSG00000062588.5	2	2	0	1	1	0
ENSMUSG00000103280.2	2	2	25	22	9	8
ENSMUSG00000002459.18	73	67	137	131	73	68
ENSMUSG00000091305.2	0	0	0	4	0	3
ENSMUSG00000102653.2	1	2	9	32	3	1
ENSMUSG00000085623.2	0	0	0	0	1	0
ENSMUSG00000091665.2	0	0	0	4	3	0
ENSMUSG00000033793.13	612	578	598	504	591	496
ENSMUSG00000104352.2	0	0	0	0	0	0
ENSMUSG00000104046.2	0	0	0	0	0	0
ENSMUSG00000102907.2	0	0	0	0	0	0
ENSMUSG00000025905.15	100	171	310	238	321	283
ENSMUSG00000103936.2	0	0	0	0	0	0
ENSMUSG00002076544.1	0	0	0	0	0	0
ENSMUSG00000103519.2	0	0	0	0	0	0
ENSMUSG00000033774.5	24	35	3	0	3	9
ENSMUSG00000103090.2	0	0	0	0	0	0
ENSMUSG00000090031.4	65	104	99	105	130	52
ENSMUSG00000025907.15	794	643	609	690	830	520
ENSMUSG00000087247.4	0	0	0	0	0	0
ENSMUSG00000103355.2	0	0	0	0	0	0
ENSMUSG00000102706.2	0	0	0	0	0	0
ENSMUSG00000103845.2	5	4	8	1	0	6
ENSMUSG00000033740.18	16	23	59	35	58	44
ENSMUSG00000103329.3	0	0	0	0	0	0
ENSMUSG00000104385.2	0	0	0	0	0	0
ENSMUSG00000102135.2	1	0	1	0	0	1
ENSMUSG00000103282.2	0	0	0	0	0	0
ENSMUSG00000102534.2	0	0	0	0	0	0
ENSMUSG00000102213.2	0	0	0	0	0	0
ENSMUSG00000103629.2	0	0	0	0	0	0
ENSMUSG00000120372.1	1	0	11	0	3	1
ENSMUSG00000051285.18	461	475	707	544	629	478
ENSMUSG00000098201.2	0	0	0	0	0	0
ENSMUSG00000103509.2	64	83	146	166	178	98
ENSMUSG00000048538.8	0	8	1	0	0	0
ENSMUSG00000103709.2	0	0	0	0	0	0
ENSMUSG00000077244.3	0	0	0	0	0	0
ENSMUSG00000102768.2	0	0	0	0	0	0
ENSMUSG00000097797.7	15	12	24	10	21	1
ENSMUSG00000103498.2	0	0	0	0	0	0
ENSMUSG00000103067.2	0	0	0	0	0	0
ENSMUSG00000102320.2	0	0	0	0	0	0
ENSMUSG00000104226.2	0	0	0	0	0	0
ENSMUSG00000103903.2	0	0	0	0	0	0
ENSMUSG00000103557.2	0	0	0	0	0	0
ENSMUSG00000025909.17	138	165	204	144	185	139
ENSMUSG00000102647.2	6	1	8	6	5	5
ENSMUSG00000086235.2	0	0	0	1	0	0
ENSMUSG00000102253.2	3	4	14	0	0	4
ENSMUSG00002074990.1	0	0	0	0	0	0
ENSMUSG00000103884.2	0	2	16	2	1	7
ENSMUSG00000084353.2	5	2	0	0	0	0
ENSMUSG00000103933.2	0	0	0	1	0	0
ENSMUSG00002075967.1	0	0	0	0	2	1
ENSMUSG00000086195.2	0	0	0	0	0	0
ENSMUSG00000104504.2	0	0	0	0	0	0
ENSMUSG00000066693.3	0	0	0	2	0	0
ENSMUSG00000102316.2	1	2	19	13	2	4
ENSMUSG00000103819.2	0	3	0	1	2	1
ENSMUSG00000102871.2	0	0	0	0	0	0
ENSMUSG00000101571.3	1	0	0	1	0	0
ENSMUSG00000104428.2	0	0	0	0	0	0
ENSMUSG00000102272.2	0	0	0	0	0	0
ENSMUSG00000065625.3	0	0	0	0	0	0
ENSMUSG00000103411.2	0	0	0	0	0	0
ENSMUSG00000061024.9	33	47	28	8	36	5
ENSMUSG00000025911.15	9	12	4	8	26	24
ENSMUSG00000079671.10	0	0	4	1	0	0
ENSMUSG00000081441.4	0	0	0	0	0	1
ENSMUSG00000067879.4	66	45	54	41	52	41
ENSMUSG00000099827.2	0	0	0	0	0	0
ENSMUSG00000025912.17	7	22	5	9	13	9
ENSMUSG00000045210.9	588	577	481	401	542	447
ENSMUSG00000097893.10	0	1	0	0	4	3
ENSMUSG00000025915.15	103	104	301	310	234	164
ENSMUSG00000046334.5	0	0	0	0	0	0
ENSMUSG00002075801.1	0	0	0	0	0	0
ENSMUSG00000098234.9	41	57	40	46	43	43
ENSMUSG00000046101.17	22	11	18	23	28	8
ENSMUSG00000093178.3	0	0	0	0	0	0
ENSMUSG00000099032.3	0	0	1	0	0	0
ENSMUSG00000104025.2	0	0	0	0	0	0
ENSMUSG00000025916.11	0	7	0	1	8	1
ENSMUSG00000087199.2	0	0	0	0	0	0
ENSMUSG00000121270.1	0	0	4	0	0	0
ENSMUSG00000119658.1	0	0	0	0	0	0
ENSMUSG00000025917.10	169	126	135	149	140	140
ENSMUSG00000056763.17	207	251	389	389	341	231
ENSMUSG00000102356.2	0	0	0	0	0	0
ENSMUSG00000067851.12	585	561	652	636	731	636
ENSMUSG00002076532.1	0	0	0	0	0	0
ENSMUSG00000102556.2	3	7	28	14	8	4
ENSMUSG00000042501.13	0	0	2	0	0	5
ENSMUSG00000103810.2	0	0	0	0	0	0
ENSMUSG00000083422.2	0	0	0	0	0	0
ENSMUSG00000119312.1	0	0	0	0	0	0
ENSMUSG00000081417.2	0	0	0	0	0	0
ENSMUSG00000103448.2	0	0	0	0	0	0
ENSMUSG00000100212.2	0	0	0	0	0	0
ENSMUSG00000100648.2	0	0	0	0	0	0
ENSMUSG00002076499.1	0	0	0	0	0	0
ENSMUSG00000048960.14	166	200	275	174	264	162
ENSMUSG00000077318.3	0	0	0	0	0	0
ENSMUSG00000101827.2	0	0	0	0	0	0
ENSMUSG00000103494.2	0	0	0	0	0	0
ENSMUSG00000057715.14	406	304	263	181	355	340
ENSMUSG00000103825.2	36	25	29	46	23	41
ENSMUSG00000099845.2	0	0	0	0	0	0
ENSMUSG00000103561.2	1	8	4	7	2	12
ENSMUSG00000101610.2	0	0	0	0	0	0
ENSMUSG00000118923.1	1	1	1	1	0	0
ENSMUSG00000098555.3	0	0	0	0	0	0
ENSMUSG00000097628.2	1	1	0	0	0	0
