control_mean	morphine_mean	M	D	prob	ranking	Length	GC	Chrom	GeneStart	GeneEnd	Biotype	mgi_symbol
ENSMUSG00000064851	122.054017536332	7.21061732532584	4.08125319474635	114.843400211006	0.998759092854086	114.915896200938	151	0.47682119205298	5	7227706	7227856	snRNA	Gm24525
ENSMUSG00000118859	115.791560092059	11.4010807971121	3.34428760058015	104.390479294947	0.997686670945657	104.44403490379	191	0.450261780104712	11	101495676	101495866	snRNA	Gm26316
ENSMUSG00000073647	43.1724186422937	1.75897126999063	4.61730609498656	41.4134473723031	0.997034124946513	41.6700508618998	619	0.483037156704362	18	4198320	4198938	processed_pseudogene	Gm10557
ENSMUSG00000086331	0.460753916199652	31.7567604702892	-6.10692351125218	31.2960065540896	0.996496576807873	-31.8862751196483	960	0.472916666666667	16	91891456	91893378	lncRNA	Gm16310
ENSMUSG00000099583	3.6889825156097	33.9978586299791	-3.2041490241159	30.3088761143694	0.994431964056483	-30.4777712814591	1249	0.496397117694155	13	23759937	23761185	protein_coding	H3c4
ENSMUSG00000049086	7.49955509582343	57.5969147898865	-2.9411146182821	50.0973596940631	0.994303594351733	-50.1836188762251	983	0.579857578840285	2	25596751	25597733	protein_coding	Bmyc
ENSMUSG00000106751	17.8315268190605	0.544401608062101	5.03361510004696	17.2871252109984	0.994070924261874	18.0050542636271	1447	0.409813407049067	5	130255057	130256503	TEC	Gm42467
ENSMUSG00000104272	2.61544323292139	23.692028354642	-3.17927435547687	21.0765851217207	0.992961061189559	-21.3150234768937	1057	0.396404919583728	9	100585266	100586322	TEC	Gm38297
ENSMUSG00000121092	5.17701029437811	38.7401893377525	-2.90363991286344	33.5631790433744	0.992902225074882	-33.6885457127668	534	0.275280898876405	8	129231424	129231957	lncRNA	
ENSMUSG00000042380	19.8367635154449	2.13073036423523	3.21875671849629	17.7060331512097	0.992452931108258	17.9962219580833	1022	0.588062622309198	4	127137577	127141602	protein_coding	Smim12
ENSMUSG00000120493	41.2492315308551	5.84854010451675	2.81821878891256	35.4006914263384	0.992190842961061	35.5126922466462	1117	0.510295434198747	9	62247370	62248486	lncRNA	
ENSMUSG00000086859	13.0478985118485	0.770834135309169	4.08125319474635	12.2770643765394	0.991583761232349	12.9376557901855	2825	0.532743362831858	11	116966834	116969790	lncRNA	Snhg20
ENSMUSG00000103967	4.66350117610984	31.958798853848	-2.77672780038122	27.2952976777382	0.990955284552846	-27.4361712451601	988	0.388663967611336	9	88562992	88563979	TEC	Gm38214
ENSMUSG00000091313	41.0749615216744	6.33025125653606	2.69792455519485	34.7447102651383	0.990770753102268	34.8492996818291	516	0.484496124031008	6	39630384	39630899	processed_pseudogene	Fth-ps2
ENSMUSG00000110127	15.4745227942788	1.82838491372662	3.08125319474635	13.6461378805522	0.990334830979889	13.9896819229451	1191	0.414777497900924	8	26234417	26235607	TEC	6430710M23Rik
