control_mean	morphine_mean	M	D	prob	ranking	Length	GC	Chrom	GeneStart	GeneEnd	Biotype	mgi_symbol
ENSMUSG00000064936	7.84378920656923	218.769853661414	-4.80171937402821	210.926064454845	0.999282862032434	-210.980712804172	130	0.4	1	39612827	39612956	snoRNA	Gm23722
ENSMUSG00000108486	3.03479939539881	96.3180082314725	-4.98813249825909	93.2832088360737	0.998400021731454	-93.4164788277461	336	0.470238095238095	7	34750823	34751962	lncRNA	Gm44836
ENSMUSG00000106831	2.22155249859259	51.2780364678546	-4.5287008796218	49.0564839692621	0.996848939233423	-49.2650763836163	459	0.457516339869281	5	76380459	76380917	processed_pseudogene	Ube2n-ps1
ENSMUSG00000114526	2.64169066542487	43.1911181518426	-4.03120122015098	40.5494274864177	0.99594980034227	-40.7493147519513	772	0.44559585492228	13	59705380	59706151	TEC	A930015P04Rik
ENSMUSG00000120789	0.938079665919043	30.6748327628542	-5.03120122015098	29.7367530969351	0.995140303697064	-30.1593678724493	1087	0.441582336706532	X	162741746	162756067	lncRNA	
ENSMUSG00000022193	34.0275616302781	3.27261105933611	3.37818971598672	30.754950570942	0.994113492516231	30.9399280926489	899	0.543937708565072	14	54851576	54855479	protein_coding	Psmb5
ENSMUSG00000086331	22.3057755561812	0.49034622372386	5.50747273293169	21.8154293324574	0.993768505690924	22.4998936189358	960	0.472916666666667	16	91891456	91893378	lncRNA	Gm16310
ENSMUSG00000113601	3.89195647654198	35.1851488778953	-3.17639913569091	31.2931924013533	0.993559340450384	-31.4539886522733	1310	0.355725190839695	13	62829006	62830315	TEC	Gm48735
ENSMUSG00000105332	21.2600000888479	0.49034622372386	5.438197025351	20.769653865124	0.993529459701736	21.4698045767445	1295	0.368339768339768	5	49174855	49176149	TEC	Gm43316
ENSMUSG00000121054	19.2394829595094	0.841074140178148	4.51569323973666	18.3984088193313	0.992681933012794	18.9444697080349	1166	0.441680960548885	13	63961797	63962962	lncRNA	
ENSMUSG00000115685	1.11259421369776	19.2607354654217	-4.11366338034295	18.1481412517239	0.992456469182082	-18.6085264677055	1833	0.504637206764866	15	34443126	34444958	TEC	D730044K07Rik
ENSMUSG00000104257	1.31488407073372	18.968906140188	-3.85062897450916	17.6540220694543	0.992127780946948	-18.0690851657772	1551	0.365570599613153	1	25315485	25317035	TEC	Gm20172
ENSMUSG00000074872	5.61814102949862	40.5244812994926	-2.85062897450916	34.9063402699939	0.992092467334909	-35.0225452615157	1089	0.459136822773186	2	124978553	124989761	protein_coding	Ctxn2
ENSMUSG00000120272	1.84392874657143	20.3941467371587	-3.46730033495765	18.5502179905873	0.991915899274713	-18.8714800455901	1106	0.561482820976492	13	58276803	58277908	lncRNA	
ENSMUSG00000108521	16.2662827015593	0.325919723312635	5.64122412182052	15.9403629782467	0.991902317116236	16.9091271646666	3009	0.453971419076105	7	78927515	78930523	TEC	Gm44639
ENSMUSG00000092549	16.4334020443836	0.790243712689541	4.37818971598672	15.643158331694	0.991554613859234	16.244289697602	1241	0.475423045930701	17	91100194	91101434	processed_pseudogene	Gm20491
ENSMUSG00000114285	6.52255392443923	43.9116021245248	-2.75109330095824	37.3890482000856	0.991285687121397	-37.4901245617949	469	0.526652452025586	19	36338743	36339211	processed_pseudogene	Gm47773
ENSMUSG00000049489	5.83157530880555	40.0609659905114	-2.78023964661776	34.2293906817059	0.991234074919186	-34.3421158191146	1224	0.533496732026144	11	78641332	78642555	protein_coding	Ccnq
ENSMUSG00000024245	14.4296122196321	0.49034622372386	4.8790879519194	13.9392659959082	0.990747833645723	14.7685014726359	1696	0.532429245283019	17	81252061	81309245	protein_coding	Tmem178
ENSMUSG00000113183	16.741221739394	1.46372007081749	3.51569323973666	15.2775016685765	0.990696221443512	15.6768031240202	1340	0.388805970149254	13	20684058	20685397	lncRNA	Gm47664
ENSMUSG00000022325	21.4954961128643	2.58416982199663	3.05626162109936	18.9113262908677	0.990666340694863	19.1566958835877	3795	0.508036890645586	15	34495450	34530794	protein_coding	Pop1
ENSMUSG00000032968	18.6655594000393	1.99462870667333	3.22618662254167	16.670930693366	0.990650042104691	16.9802299839101	1475	0.59728813559322	1	75483721	75487010	protein_coding	Inha
ENSMUSG00000019945	1.61599460674168	17.0960648524959	-3.40316999753794	15.4800702457542	0.990563116290441	-15.8497363020849	1262	0.422345483359746	10	68266783	68377726	protein_coding	Cabcoco1
ENSMUSG00000105469	22.4429949546813	2.81538501659633	2.99486107643522	19.627609938085	0.990465324749409	19.8547793931023	1045	0.416267942583732	3	126760124	126761168	TEC	A930036I15Rik
ENSMUSG00000023074	2.93436718519137	23.0474484052462	-2.97348572229469	20.1130812200548	0.990454459022628	-20.3316908668515	2085	0.470023980815348	X	52433475	52459379	protein_coding	Mospd1
ENSMUSG00000120648	23.814476784276	3.12322435492905	2.9307307390155	20.691252429347	0.990356667481596	20.8977776272877	942	0.412951167728238	6	31076849	31103456	lncRNA	
ENSMUSG00000102136	15.1835104547226	1.15285162317522	3.71922663382179	14.0306588315473	0.990264308803955	14.5152345486047	2552	0.431818181818182	2	4182921	4185472	lncRNA	Gm37107
ENSMUSG00000074622	1.21283686809872	14.872231584845	-3.61616372087214	13.6593947167463	0.989864993344742	-14.1299576816078	3363	0.555456437704431	2	160205623	160208985	protein_coding	Mafb
ENSMUSG00000105622	1.12054131522418	14.5487341104882	-3.69862588106411	13.428192795264	0.989810664710836	-13.9282516905338	1820	0.367032967032967	5	51648439	51650258	TEC	Gm42615
ENSMUSG00000108819	16.3539774961413	1.70037702201599	3.26571498672831	14.6536004741253	0.989772634667101	15.0130909951891	2307	0.354139575205895	7	90789172	90791478	TEC	Gm45177
ENSMUSG00000064452	285.51392711912	52.3035971972117	2.44857904387812	233.210329921908	0.989767201803711	233.223183928227	75	0.44	12	109597508	109597582	snoRNA	Gm24564
ENSMUSG00000014470	24.6575539793411	3.45836127563428	2.83386919976291	21.1991927037068	0.989636813082335	21.3877672030126	1985	0.596977329974811	8	123192886	123202803	protein_coding	Rnf166
ENSMUSG00000040771	2.61795275187163	20.1425919886566	-2.94373837890064	17.524639236785	0.989514573656045	-17.770159707298	1558	0.475609756097561	17	48717042	48724294	protein_coding	Oard1
ENSMUSG00000001128	12.9223716191175	0.564915004290162	4.51569323973666	12.3574566148273	0.989435797136881	13.1566796503808	1736	0.503456221198157	X	20791693	20797794	protein_coding	Cfp
ENSMUSG00000105962	0.630607666576376	12.7362655512691	-4.3360558016794	12.1056578846927	0.989145138945481	-12.8587842635492	1617	0.382807668521954	9	109870248	109871864	TEC	Gm42432
ENSMUSG00000106024	12.6857491314775	0.871468407092168	3.86361654315696	11.8142807243853	0.988577404721158	12.4299944419593	3376	0.399289099526066	3	153015007	153018382	TEC	A530083M17Rik
ENSMUSG00000103889	12.8547277967966	1.00241136025321	3.68075248600715	11.8523164365434	0.988447015999783	12.4106947337852	2935	0.355366269165247	1	25647331	25650265	TEC	Gm37011
ENSMUSG00000075707	2.51155812033005	18.3577896566568	-2.86973779745686	15.8462315363268	0.98829761225654	-16.1039886031079	2030	0.578325123152709	12	110245502	110247531	protein_coding	Dio3
ENSMUSG00000105598	23.5123292963908	3.57048221158151	2.71922663382179	19.9418470848093	0.988240567190938	20.1263871233762	824	0.408980582524272	5	132563264	132564087	TEC	Gm43186
ENSMUSG00000021025	5.06679551231801	31.0654129315737	-2.61616372087214	25.9986174192557	0.98809387987939	-26.129914280901	1610	0.558385093167702	12	55536195	55539432	protein_coding	Nfkbia
ENSMUSG00000048776	2.51931463089314	18.1721886494327	-2.85062897450916	15.6528740185396	0.988085730584304	-15.9103284249755	1619	0.476837554045707	6	147153599	147165681	protein_coding	Pthlh
ENSMUSG00000102508	15.2836323125696	1.8844974009372	3.01973574507425	13.3991349116324	0.987849401026811	13.7351964074128	2602	0.410837817063797	1	158362377	158364978	TEC	Gm37367
ENSMUSG00000103869	15.75761224534	2.02065751534558	2.96315221670788	13.7369547299944	0.987770624507647	14.0529070413668	2912	0.397664835164835	14	61904669	61907580	TEC	Gm37420
ENSMUSG00000030220	1.19471891839953	12.6392699729642	-3.40316999753794	11.4445510545646	0.987520712791677	-11.9398205544589	1707	0.489748096074985	6	136900653	136918897	protein_coding	Arhgdib
ENSMUSG00000056753	1.10296657312493	12.1989866367212	-3.46730033495765	11.0960200635963	0.987200173851629	-11.6251379718492	1849	0.552731206057328	8	84791865	84793916	lncRNA	C330011M18Rik
ENSMUSG00000107048	12.0233265210185	1.10128292807156	3.44857904387812	10.922043592947	0.986887784206666	11.4535467724242	1781	0.357664233576642	5	150675558	150677338	lncRNA	Gm43807
ENSMUSG00000097785	0.568866162819526	10.9421751458602	-4.265666473788	10.3733089830407	0.986817156982588	-11.2161245411787	3585	0.503765690376569	19	57311625	57349303	lncRNA	B230217O12Rik
ENSMUSG00000083626	87.1532134063248	16.7639734606448	2.37818971598672	70.38923994568	0.986757395485291	70.4294035645322	468	0.527777777777778	7	139239604	139240071	processed_pseudogene	Gm4459
ENSMUSG00000109622	10.7423045049449	0.49034622372386	4.45335894475312	10.251958281221	0.98667046967104	11.1774350586666	2468	0.342787682333874	8	63652006	63654473	TEC	Gm45517
ENSMUSG00000051730	18.4105351914551	2.81692537223391	2.70833831767905	15.5936098192212	0.986591693151876	15.8270579589865	2437	0.383258104226508	2	69701542	69715959	protein_coding	Mettl5
ENSMUSG00000040822	2.634864591354	17.2318052781512	-2.70927312526362	14.5969406867971	0.986053839676201	-14.8462398701203	1935	0.542635658914729	14	54923673	54928198	protein_coding	1700123O20Rik
ENSMUSG00000105302	11.0004360823837	0.919974153328068	3.57982357715637	10.0804619290556	0.985831092277185	10.6972356030287	2132	0.418855534709193	3	55238262	55240393	TEC	Gm19817
ENSMUSG00000120224	4.49864380965	25.9595059618514	-2.5287008796218	21.4608621522014	0.985782196506669	-21.6093251272313	680	0.539705882352941	15	86097932	86098611	lncRNA	
ENSMUSG00000120764	11.5459829202777	1.16888253569454	3.30418913454295	10.3771003845832	0.98574688289463	10.8904489452248	1678	0.51668653158522	6	108634731	108636408	lncRNA	
ENSMUSG00000069272	4.34528095250284	25.074522804061	-2.5287008796218	20.7292418515582	0.985613777741559	-20.8829067871068	704	0.541193181818182	13	23754691	23755394	protein_coding	H2ac8
ENSMUSG00000054519	1.1954192225721	11.4969806265852	-3.265666473788	10.3015614040131	0.98550240404205	-10.8067916089224	3412	0.465123094958968	11	59352023	59363300	protein_coding	Zfp867
ENSMUSG00000104034	14.4739900192193	2.08806056944156	2.79322721526557	12.3859294497777	0.985372015320675	12.696982578982	1409	0.364797728885735	2	14678215	14679623	TEC	2900092N22Rik
ENSMUSG00000018821	23.0998322911909	3.96720245731278	2.5416884482696	19.1326298338782	0.985325835981854	19.3007177205479	1236	0.530744336569579	19	42111712	42117498	protein_coding	Avpi1
ENSMUSG00000114153	14.1445379134855	2.06114427794813	2.77872764557045	12.0833936355374	0.984931953386032	12.3987793382898	2379	0.394283312316099	12	89622493	89624871	TEC	Gm48692
ENSMUSG00000120210	9.74087587094572	0.49034622372386	4.3121788286059	9.25052964722186	0.984739086735664	10.206232654805	2303	0.447676943117673	11	79227826	79230128	lncRNA	
ENSMUSG00000102919	9.44645740780854	0.252365529451292	5.22618662254167	9.19409187835725	0.984611414445984	10.5756490146614	3886	0.375193000514668	3	84781198	84785083	TEC	Gm37726
ENSMUSG00000038570	0.852585783322742	10.2497120343616	-3.58759456867536	9.39712625103888	0.984573384402249	-10.058668727379	4784	0.394439799331104	7	82282168	82297736	protein_coding	Saxo2
ENSMUSG00000053916	3.42638641415995	19.7720251501556	-2.5287008796218	16.3456387359957	0.984296308369326	-16.5400796197081	1488	0.528897849462366	2	150871605	150881318	protein_coding	Nanp
ENSMUSG00000056941	2.2276189991349	14.4613304648217	-2.69862588106411	12.2337114656868	0.984171352511341	-12.5278201564208	5493	0.477880939377389	2	153458853	153474701	protein_coding	Commd7
ENSMUSG00000087692	9.78122395063789	49.3873894398132	-2.3360558016794	39.6061654891754	0.98416591964795	-39.6749984431569	417	0.398081534772182	11	99278166	99278723	lncRNA	Gm11940
ENSMUSG00000120670	29.4050888395107	5.47363226482449	2.42549543076508	23.9314565746862	0.984065411675223	24.054056661419	1075	0.430697674418605	16	74888691	74889765	lncRNA	
ENSMUSG00000115568	11.8256389724765	1.55091056528369	2.9307307390155	10.2747284071928	0.983883410751637	10.6845321145189	1897	0.479177648919346	15	27479092	27480988	TEC	Tiaf2
ENSMUSG00000041654	10.0178194987145	0.875878934904186	3.51569323973666	9.14194056381031	0.983842664276207	9.79465038825636	3359	0.537660017862459	11	113135679	113540905	protein_coding	Slc39a11
ENSMUSG00000117943	11.8717569040856	1.5809120592924	2.9087044326855	10.2908448447932	0.983766604188738	10.6940193143799	5583	0.379724162636575	18	40479222	40484804	TEC	Gm50403
