control_mean	morphine_mean	M	D	prob	ranking	Length	GC	Chrom	GeneStart	GeneEnd	Biotype	mgi_symbol
ENSMUSG00000064925	186.591486249342	14.7009940929654	3.66589754109114	171.890492156377	0.998873963383939	171.929578893636	149	0.476510067114094	9	119959481	119959629	snoRNA	Snora62
ENSMUSG00000104649	12.7386627496687	124.200666589538	-3.28538717387583	111.462003839869	0.997843308693003	-111.51041237876	291	0.426116838487972	3	90034074	90034364	unprocessed_pseudogene	Gm43712
ENSMUSG00000084487	38.0851115769205	300.061386281074	-2.97795864868359	261.976274704154	0.996921283416793	-261.993199807895	73	0.424657534246575	12	109651396	109651468	snoRNA	Gm23787
ENSMUSG00000113869	36.3975537628374	1.65441700895154	4.45944666362371	34.7431367538858	0.996553003205892	35.0281631839998	662	0.403323262839879	13	9402064	9402725	processed_pseudogene	Gm48869
ENSMUSG00000081339	10.2970857226489	82.7502623055141	-3.00652780088036	72.4531765828652	0.996028402617704	-72.5155294151902	450	0.48	7	128294413	128294862	processed_pseudogene	Gm16044
ENSMUSG00000073174	1.0495330861137	24.8068869745396	-4.56292114940474	23.7573538884259	0.995275945208383	-24.1915711187924	883	0.545866364665912	5	20907275	20911050	lncRNA	Gm29254
ENSMUSG00000025226	0.463368857519199	22.7494611854049	-5.61752748005521	22.2860923278857	0.995249450229182	-22.9831792021083	1348	0.637240356083086	19	46316623	46318885	protein_coding	Fbxl15
ENSMUSG00000106904	22.942041154045	0.713501016238386	5.0069344589262	22.2285401378067	0.995124923826935	22.7854644309495	1535	0.411726384364821	6	29546603	29548137	TEC	Gm43029
ENSMUSG00000085093	3.83477675188303	33.2343852667176	-3.11546217243352	29.3996085148346	0.994234692525766	-29.5642196814562	725	0.390344827586207	4	108370978	108374014	lncRNA	Gm12737
ENSMUSG00000120013	20.0146234268764	1.43353934545278	3.80340106484107	18.5810840814236	0.993763081895981	18.9663529783922	1528	0.463350785340314	5	34492036	34493563	lncRNA	
ENSMUSG00000043483	5.82853908829181	43.0512602172139	-2.88484924429211	37.2227211289221	0.993405399676761	-37.3343450914007	636	0.471698113207547	12	96889197	96889832	processed_pseudogene	Gm6863
ENSMUSG00000107729	24.1298672752065	2.67345173293553	3.17404444476146	21.4564155422709	0.993280873274515	21.6899130025901	1229	0.347436940602116	6	45050500	45051728	TEC	B230112I24Rik
ENSMUSG00000045822	1.02666659716218	16.5820481746539	-4.01358255841431	15.5553815774917	0.992737726200885	-16.064829316696	2708	0.517725258493353	2	164647018	164664050	protein_coding	Zswim3
ENSMUSG00000002825	15.970138018908	1.1102119208575	3.84646978673296	14.8599260980505	0.992313806533662	15.3496818683572	1973	0.5727318803852	9	21323133	21331570	protein_coding	Qtrt1
ENSMUSG00000120525	14.6217069991032	0.822858046525862	4.15132436826138	13.7988489525773	0.991921680841481	14.4097788472469	1331	0.46656649135988	14	70896785	70898115	lncRNA	
ENSMUSG00000113432	18.1883102951461	2.04714777556247	3.15132436826138	16.1411625195837	0.991582545107702	16.445910517743	1070	0.345794392523365	13	17910570	17911639	TEC	8430406P12Rik
ENSMUSG00000039079	13.831906194603	0.817331388004419	4.08093504036998	13.0145748065985	0.991397080253292	13.6393983811702	1340	0.567910447761194	8	123083706	123087485	protein_coding	Trhr2
ENSMUSG00000105877	13.6686978619233	0.807687359827376	4.08093504036998	12.8610105020959	0.991280502344806	13.4929471183556	1356	0.331120943952802	5	58082962	58084317	TEC	Gm42479
ENSMUSG00000020814	0.775188385644833	13.2837715340241	-4.09897404964495	12.5085831483793	0.991039398034073	-13.1630634975139	2391	0.569636135508156	11	116693888	116718872	protein_coding	Mxra7
ENSMUSG00000109555	12.5065818493711	0.492678389530329	4.66589754109114	12.0139034598408	0.990787695731659	12.8881525521051	2223	0.483580746738641	7	131913585	131915807	TEC	Gm44891
ENSMUSG00000039179	1.02571966246641	13.3342165569288	-3.70042467315468	12.3084968944624	0.990700262300294	-12.8527132762962	1807	0.55229662423907	16	10175812	10213354	protein_coding	Tekt5
ENSMUSG00000113894	15.7710632218852	1.77507951365628	3.15132436826138	13.9959837082289	0.990596931881409	14.3463725462225	1234	0.346839546191248	13	3612385	3613618	TEC	Gm48838
ENSMUSG00000113601	14.8561007754247	1.67209780141362	3.15132436826138	13.1840029740111	0.990096176774501	13.5553966999395	1310	0.355725190839695	13	62829006	62830315	TEC	Gm48735
ENSMUSG00000113041	11.8055759877503	0.581329118856647	4.34396944620377	11.2242468688936	0.989923959409692	12.0355219381388	1884	0.373673036093418	13	75875398	75877281	lncRNA	Gm48302
ENSMUSG00000105272	12.3139361742307	1.07797643693496	3.51389444764609	11.2359597372957	0.989441750788226	11.7726057186728	2032	0.381397637795276	3	106474921	106476952	TEC	Gm43071
ENSMUSG00000030342	12.2416430068673	1.07164780814669	3.51389444764609	11.1699951987206	0.989327822377659	11.7096646804526	2044	0.518590998043053	6	125437229	125471754	protein_coding	Cd9
ENSMUSG00000105677	13.5714728143698	1.5275091491296	3.15132436826138	12.0439636652403	0.989179450494131	12.4494138835379	1434	0.396792189679219	3	105639760	105641193	lncRNA	Gm43328
ENSMUSG00000091313	48.4920897403813	8.49010899167381	2.51389444764609	40.0019807487075	0.988922449195877	40.0808948142861	516	0.484496124031008	6	39630384	39630899	processed_pseudogene	Fth-ps2
ENSMUSG00000024505	11.58422143798	0.933429596527774	3.63347606339876	10.6507918414522	0.98877937630819	11.2535112366424	3520	0.475852272727273	18	49829212	49888668	protein_coding	Dtwd2
ENSMUSG00000028295	15.9570732390718	2.17594184091243	2.87448416290255	13.7811313981593	0.988628354926741	14.0777214710375	1510	0.419205298013245	4	34768664	34778423	protein_coding	Smim8
ENSMUSG00000120048	10.7939500919614	0.607445402066513	4.15132436826138	10.1865046898949	0.988358106138887	10.9999259910133	1803	0.393233499722684	4	48041113	48042915	lncRNA	
ENSMUSG00000104761	11.2967592603723	0.95361259027072	3.56636186754022	10.3431466701016	0.988260074715841	10.9407321514366	2297	0.40095777100566	5	100946615	100948911	TEC	Gm43511
ENSMUSG00000097787	17.0887805609917	2.58918217476577	2.7224810694575	14.499598386226	0.987674535675489	14.7529744978903	2115	0.497872340425532	19	32366591	32368705	lncRNA	2700046G09Rik
ENSMUSG00000002109	12.532637228224	1.60120476597357	2.96846031111157	10.9314324622504	0.987120790610179	11.3273109030955	2736	0.425438596491228	2	91041917	91067327	protein_coding	Ddb2
ENSMUSG00000119047	177.460413517991	34.9539593593379	2.34396944620378	142.506454158653	0.987073099647617	142.52572985127	94	0.436170212765957	7	59413836	59413929	snoRNA	Gm22776
ENSMUSG00000103646	12.4011918468068	1.5844109366017	2.96846031111157	10.8167809102051	0.986985666216252	11.2167065521935	2765	0.381555153707052	1	176995664	176998428	TEC	Gm37706
ENSMUSG00000108350	10.4944166337101	0.95402792676474	3.45944666362371	9.54038870694534	0.986802850859762	10.1482406306742	2296	0.461672473867596	7	79572320	79574615	TEC	Gm44950
ENSMUSG00000040771	2.37930093719743	15.4652948128179	-2.70042467315468	13.0859938756205	0.986635932490793	-13.3617187939336	1558	0.475609756097561	17	48717042	48724294	protein_coding	Oard1
ENSMUSG00000091997	2.91426954414591	18.0815292912298	-2.63331047729614	15.1672597470839	0.98658029303447	-15.3941577328982	1272	0.47248427672956	16	32743588	32744859	processed_pseudogene	Gm6611
ENSMUSG00000103653	8.81208603839998	46.8637870332803	-2.41091805595969	38.0517009948804	0.986490210105185	-38.1280011864815	631	0.551505546751189	1	191758120	191758750	processed_pseudogene	Gstp-ps
ENSMUSG00000112254	10.6955472882911	1.1152994500264	3.2615072860118	9.58024783826469	0.986333889727897	10.1202064415348	2946	0.404955872369314	12	75552574	75555519	TEC	Gm47690
ENSMUSG00000119374	285.908444001208	58.2565989322299	2.29505984572283	227.651845068978	0.986294147259094	227.663413536311	94	0.446808510638298	7	59348055	59348148	snoRNA	Gm24264
ENSMUSG00000023067	0.260832455682071	9.24759971792222	-5.1478836501259	8.98676726224015	0.98620671382773	-10.3567703412263	3553	0.523782718829158	17	29309950	29319701	protein_coding	Cdkn1a
ENSMUSG00000040888	3.32312941295705	19.6364690260138	-2.56292114940474	16.3133396130568	0.985947063031556	-16.5134373813871	2231	0.547736441057822	17	24912161	24915130	protein_coding	Gfer
ENSMUSG00000106408	14.6185276759897	2.27319232031117	2.68500636403884	12.3453353556785	0.985928516546114	12.6339449191096	2409	0.386052303860523	5	48976818	48979226	TEC	Gm43321
ENSMUSG00000037214	13.0347328701799	1.87860044584206	2.79463085521334	11.1561324243378	0.985867578093951	11.5008370254635	2915	0.463464837049743	8	26648169	26654179	protein_coding	Thap1
ENSMUSG00000061024	16.2903113971593	2.67388686505352	2.60700385203757	13.6164245321058	0.985496648385131	13.8637471890926	2048	0.54248046875	1	9615633	9617680	protein_coding	Rrs1
ENSMUSG00000070394	17.6122099690555	2.97345898622422	2.56636186754022	14.6387509828313	0.985462204912169	14.862006714186	1105	0.517647058823529	11	69729340	69730444	protein_coding	Tmem256
ENSMUSG00000107549	22.2773489191923	4.09538911297086	2.44350511975469	18.1819598062214	0.984508385660917	18.3454184925097	1872	0.378205128205128	6	7853871	7855742	TEC	Gm43961
ENSMUSG00000121444	24.489591913393	4.56978050038632	2.42197195820505	19.9198114130067	0.984503086665077	20.0665102819619	719	0.489568845618915	9	122511807	122512706	lncRNA	
ENSMUSG00000113126	8.90631050816123	0.568947563597881	3.96846031111157	8.33736294456335	0.984458045200435	9.23365031340508	3850	0.422077922077922	13	63558732	63562581	TEC	Gm47588
ENSMUSG00000106450	15.2639153065148	2.57699778806099	2.56636186754022	12.6869175184538	0.984336168296108	12.9438823138661	1275	0.410980392156863	5	132468094	132469368	TEC	Gm43018
ENSMUSG00000097055	15.9610370727819	2.75083186920755	2.53661452414617	13.2102052035743	0.984150703441698	13.4515402376327	2787	0.493003229278794	12	21467324	21471065	lncRNA	Gm4419
ENSMUSG00000110669	183.677745322926	39.4675336910242	2.21843856411992	144.210211631902	0.983848660678801	144.22727414945	111	0.657657657657658	8	19834762	19834872	processed_pseudogene	Gm10060
ENSMUSG00000090565	5.49449238165058	28.1381675475039	-2.35647027193732	22.6436751658533	0.983573112895106	-22.7659609320408	1012	0.425889328063241	17	63612441	63619968	lncRNA	4930405O22Rik
ENSMUSG00000104852	10.0378499579686	1.28246377040506	2.96846031111157	8.75538618756354	0.983310812601012	9.24491989754497	3416	0.32903981264637	5	45915617	45919032	TEC	Gm43201
ENSMUSG00000081094	6.27233648080134	31.5039069691044	-2.32845589576772	25.231570488303	0.98326842063429	-25.3387816629912	591	0.544839255499154	8	19542952	19543542	processed_pseudogene	Rpl19-ps11
ENSMUSG00000081648	19.8288475064522	3.70008128353352	2.42197195820505	16.1287662229187	0.98326577113637	16.3095998736908	888	0.394144144144144	2	23092045	23093695	processed_pseudogene	Gm13423
ENSMUSG00000053916	4.3596532293473	22.8171679151234	-2.38783444284665	18.4575146857761	0.983257822642609	-18.611329928355	1488	0.528897849462366	2	150871605	150881318	protein_coding	Nanp
ENSMUSG00000102321	12.2189268024401	1.92538656887065	2.66589754109114	10.2935402335694	0.983178337705005	10.6331547642131	3413	0.354233811895693	1	32578109	32581521	TEC	Gm37792
ENSMUSG00000059159	95.7193884077219	20.5675879798295	2.21843856411992	75.1518004278924	0.983077656784039	75.1845368225178	213	0.488262910798122	6	52323715	52323927	processed_pseudogene	Gm8129
ENSMUSG00000002345	23.3578306923847	4.47639261550104	2.38349781039041	18.8814380768837	0.983014068833956	19.0312838679719	1468	0.536784741144414	8	70592149	70599969	protein_coding	Borcs8
ENSMUSG00000072809	8.71120050289167	0.791919059960898	3.45944666362371	7.91928144293077	0.982706727075219	8.6419204920437	2766	0.541576283441793	11	68948544	68951309	lncRNA	9330160F10Rik
ENSMUSG00000120649	25.7825021185335	5.07831867044477	2.34396944620377	20.7041834480887	0.982608695652174	20.836444154818	647	0.545595054095827	7	140638365	140640804	lncRNA	
ENSMUSG00000111997	30.9667859140785	6.24822202076728	2.3092040280431	24.7185638933112	0.982595448162573	24.8261923014956	1227	0.393643031784841	10	111336600	111337826	transcribed_processed_pseudogene	Gm5176
ENSMUSG00000001305	2.57506620418203	14.5398686560095	-2.49733280777717	11.9648024518274	0.982513313727049	-12.2226498298878	3239	0.481321395492436	1	186453175	186481555	protein_coding	Rrp15
ENSMUSG00000064346	428.789092032692	98.0797665605303	2.12824075514834	330.709325472161	0.981567442969557	330.716173422111	67	0.402985074626866	MT	4950	5016	Mt_tRNA	mt-Tw
ENSMUSG00000112816	21.0356606187783	4.14334448900096	2.34396944620378	16.8923161297773	0.981503855019474	17.0541647990475	793	0.351828499369483	10	12296548	12297340	TEC	Gm48798
ENSMUSG00000035944	7.71879408673314	0.285066126997897	4.75900694548262	7.43372795973525	0.981381978115147	8.82657682720212	3842	0.524206142634045	15	85716507	85743023	protein_coding	Ttc38
ENSMUSG00000103885	9.35748627750066	1.2287480103881	2.92893194692493	8.12873826711256	0.981374029621387	8.64031412420507	2674	0.410246821241586	2	14712476	14715149	TEC	Gm37006
ENSMUSG00000119994	16.3908333045348	3.09932524917134	2.40286313525734	13.2915080553635	0.981302493177543	13.5069588595128	2827	0.47117085249381	10	128334642	128340114	lncRNA	
ENSMUSG00000119981	16.1944020102539	3.08687728276754	2.39127516098213	13.1075247274863	0.980913016983282	13.32386585707	1774	0.4695603156708	11	30218270	30220043	lncRNA	
ENSMUSG00000071679	9.17814518332389	1.20519841532426	2.92893194692493	7.97294676799963	0.980844130037358	8.4939109081196	3635	0.409353507565337	X	143471903	143905407	protein_coding	Rtl4
ENSMUSG00000015542	2.24283086892158	12.7228351588684	-2.50402746035118	10.4800042899468	0.980817635058156	-10.7750008556611	2066	0.560019361084221	11	115073658	115078685	protein_coding	Nat9
ENSMUSG00000105568	10.2525095939794	1.580409898883	2.69760640081848	8.67209969509639	0.980645417693347	9.0819817999943	2079	0.43049543049543	3	127077130	127079208	TEC	Gm42971
ENSMUSG00000045689	1.74479935590876	10.8992173795748	-2.64309149808873	9.15441802366604	0.980613623718305	-9.5283420393734	3718	0.465841850457235	18	37440508	37444225	protein_coding	Pcdhb4
ENSMUSG00000053111	8.46519878895448	0.952783001240471	3.15132436826138	7.51241578771401	0.980383117399253	8.14660887986484	2299	0.508046976946498	7	133378590	133483261	protein_coding	Fank1
ENSMUSG00000102407	17.5615516469969	3.45905743363892	2.34396944620377	14.102494213358	0.980314230453329	14.2959622202401	2533	0.388077378602448	1	25364947	25367479	TEC	Gm37862
ENSMUSG00000070883	7.60808913831367	0.42815639559262	4.15132436826138	7.17993274272105	0.980290384972048	8.29366795817861	2558	0.478107896794371	2	69588377	69619919	protein_coding	Ccdc173
ENSMUSG00000120981	12.2503333118096	2.1716273494896	2.49597253964883	10.07870596232	0.98015526057812	10.3831687260482	1513	0.456708526107072	13	65425035	65426547	lncRNA	
ENSMUSG00000103916	2.19476072241184	12.3204601175799	-2.48892056796097	10.1256993951681	0.980083724134277	-10.4271047676201	3378	0.346358792184725	16	77213512	77216889	TEC	Gm38071
ENSMUSG00000020514	21.7277955615527	4.4657454023483	2.28256890153963	17.2620501592044	0.980012187690433	17.4123087638935	981	0.509683995922528	11	58062487	58070391	protein_coding	Mrpl22
ENSMUSG00000106753	2.61175495078929	13.8896428454673	-2.41091805595969	11.277887894678	0.979882362292346	-11.5327048534798	2129	0.345702207609206	5	69420928	69423056	TEC	Gm43230
ENSMUSG00000066880	5.51629592284761	26.0767633315696	-2.24099305451738	20.560467408722	0.979879712794425	-20.68223561261	3024	0.419312169312169	8	72662479	72688473	protein_coding	Zfp617
ENSMUSG00000066170	1.38164400303898	9.38880111006195	-2.76455501057439	8.00715710702296	0.979357761704157	-8.47096979944093	2683	0.557584793142005	17	28741690	28744372	lncRNA	E230001N04Rik
ENSMUSG00000109108	31.9275006087571	6.9506513322588	2.1995795368686	24.9768492764983	0.979177595845587	25.07351490956	1103	0.43064369900272	7	6159515	6160617	lncRNA	Gm36371
ENSMUSG00000103192	8.07898457991855	0.923979803087111	3.12824075514834	7.15500477683143	0.978822563124288	7.8089681507003	3556	0.396231721034871	1	80643726	80647281	TEC	Gm37645
ENSMUSG00000105230	7.88712948968849	34.9539593593379	-2.1478836501259	27.0668298696494	0.978451633415468	-27.151918594586	940	0.370212765957447	9	109835042	109835981	TEC	Gm42433
ENSMUSG00000045948	6.23765769737383	28.4337015557691	-2.18852563462325	22.1960438583953	0.978348302996582	-22.3036769932047	1040	0.522115384615385	7	28439066	28441245	protein_coding	Mrps12
ENSMUSG00000106386	14.2500717193812	2.85437597061747	2.3197218999571	11.3956957487637	0.97794028031688	11.6294020177966	3837	0.415428720354444	5	132000889	132004725	TEC	Gm42991
ENSMUSG00000116858	10.8330610712473	1.93246415514058	2.48692740004582	8.90059691610669	0.977823702408394	9.24150601125739	4534	0.417291574768416	17	3248385	3361395	lncRNA	Gm49797
ENSMUSG00000019794	27.0210541059032	5.98755750301187	2.17404444476146	21.0334966028913	0.977810454918793	21.1455538728982	2195	0.449202733485194	10	7601764	7638914	protein_coding	Katna1
ENSMUSG00000026278	3.02197080990782	14.8807616837761	-2.29988674357095	11.8587908738683	0.977783959939591	-12.0797516540447	1840	0.608152173913044	1	93613382	93623486	protein_coding	Bok
ENSMUSG00000032348	3.66010156018325	17.3021178503305	-2.24099305451738	13.6420162901473	0.977338844289007	-13.8248565392571	1266	0.484992101105845	9	78090056	78116631	protein_coding	Gsta4
ENSMUSG00000103313	22.1905540532733	4.88939312466929	2.18221837620716	17.301160928604	0.976885780144663	17.4382409238693	2464	0.449269480519481	3	51139338	51141801	TEC	Gm38357
ENSMUSG00000084915	9.64873178770767	1.62898967762904	2.56636186754022	8.01974211007863	0.976811594202899	8.42036084424729	2017	0.486365889935548	15	89360439	89369050	lncRNA	C230037L18Rik
ENSMUSG00000038622	17.205257156831	3.69695885207062	2.21843856411992	13.5082983047604	0.976769202236176	13.6892509931394	1185	0.437974683544304	15	52575804	52593960	protein_coding	Med30
ENSMUSG00000102623	8.69643714642316	1.34054352500113	2.69760640081848	7.35589362142203	0.976411520016957	7.83493785957579	2451	0.433700530395757	6	40075656	40078106	TEC	Gm37673
ENSMUSG00000074467	19.7333740583886	4.31870686090663	2.19196635275873	15.414667197482	0.976332035079353	15.5697360703627	1268	0.489747634069401	3	89260936	89262205	pseudogene	Gm10702
ENSMUSG00000120298	16.1044468648063	3.4604235700661	2.21843856411992	12.6440232947402	0.976202209681265	12.8371645911668	1266	0.495260663507109	2	34692319	34693584	lncRNA	
ENSMUSG00000037787	5.30751181421393	23.1807881209421	-2.12682203459807	17.8732763067281	0.976093580266539	-17.9993715974614	4016	0.51195219123506	12	111679695	111721487	protein_coding	Coa8
ENSMUSG00000085565	0.280150457992261	6.62166904429215	-4.56292114940474	6.34151858629989	0.975931960893411	-7.81249687334799	3308	0.482769044740024	5	147886692	147893976	lncRNA	Gm15721
ENSMUSG00000004748	5.86542857619239	25.2065376277542	-2.10348953076745	19.3411090515619	0.975603423151313	-19.4551578649585	1738	0.512082853855006	11	4041480	4045445	protein_coding	Mtfp1
ENSMUSG00000073433	2.36714614313767	11.8894055036658	-2.32845589576772	9.52225936052815	0.975449752271944	-9.80281236113909	1566	0.514687100893997	17	26418157	26426760	protein_coding	Arhgdig
