control_mean	morphine_mean	M	D	prob	ranking	Length	GC	Chrom	GeneStart	GeneEnd	Biotype	gene	mgi_symbol
ENSMUSG00000064936	218.763831875491	7.84400511803423	4.80163995065144	210.919826757457	0.999361638551599	210.974474914885	130	0.4	1	39612827	39612956	snoRNA	ENSMUSG00000064936	Gm23722
ENSMUSG00000108486	96.315357014148	3.03488293257277	4.98805307488232	93.2804740815752	0.998503246135876	93.413743733785	336	0.470238095238095	7	34750823	34751962	lncRNA	ENSMUSG00000108486	Gm44836
ENSMUSG00000106831	51.2766250057496	2.22161364998791	4.52862145624502	49.0550113557617	0.996819058484774	49.2636027043077	459	0.457516339869281	5	76380459	76380917	processed_pseudogene	ENSMUSG00000106831	Ube2n-ps1
ENSMUSG00000114526	43.1899292875501	2.64176338172137	4.03112179677421	40.5481659058287	0.996023143998044	40.7480515027043	772	0.44559585492228	13	59705380	59706151	TEC	ENSMUSG00000114526	A930015P04Rik
ENSMUSG00000120789	30.6739884176529	0.938105487897378	5.03112179677421	29.7358829297555	0.995232662374705	30.1584966493043	1087	0.441582336706532	X	162741746	162756067	lncRNA	ENSMUSG00000120789	
ENSMUSG00000022193	3.27252097853713	34.0284982873565	-3.37826913936349	30.7559773088194	0.994344389210333	-30.9409573639632	899	0.543937708565072	14	54851576	54855479	protein_coding	ENSMUSG00000022193	Psmb5
ENSMUSG00000086331	0.490332726617481	22.3063895544098	-5.50755215630846	21.8160568277923	0.99402113383859	-22.5005214665777	960	0.472916666666667	16	91891456	91893378	lncRNA	ENSMUSG00000086331	Gm16310
ENSMUSG00000113601	35.1841803832391	3.89206360818492	3.17631971231414	31.2921167750541	0.993841849346698	31.4529105040926	1310	0.355725190839695	13	62829006	62830315	TEC	ENSMUSG00000113601	Gm48735
ENSMUSG00000105332	0.490332726617481	21.2605853006179	-5.43827644872777	20.7702525740004	0.993779371417706	-21.4704038788411	1295	0.368339768339768	5	49174855	49176149	TEC	ENSMUSG00000105332	Gm43316
ENSMUSG00000121054	0.841050989052282	19.2400125536689	-4.51577266311343	18.3989615646166	0.992825903892647	-18.9450254526396	1166	0.441680960548885	13	63961797	63962962	lncRNA	ENSMUSG00000121054	
ENSMUSG00000115685	19.2602053008503	1.11262483943748	4.11358395696618	18.1475804614128	0.992573275744981	18.6079619941159	1833	0.504637206764866	15	34443126	34444958	TEC	ENSMUSG00000115685	D730044K07Rik
ENSMUSG00000074872	40.5233658361554	5.61829567682892	2.85054955113239	34.9050701593265	0.992372259799527	35.0212729004953	1089	0.459136822773186	2	124978553	124989761	protein_coding	ENSMUSG00000074872	Ctxn2
ENSMUSG00000104257	18.9683840084132	1.31492026478975	3.85054955113239	17.6534637436234	0.992206557466113	18.0685227396473	1551	0.365570599613153	1	25315485	25317035	TEC	ENSMUSG00000104257	Gm20172
ENSMUSG00000120272	20.3935853746873	1.84397950333535	3.46722091158088	18.5496058713519	0.992138646673729	18.8708637542694	1106	0.561482820976492	13	58276803	58277908	lncRNA	ENSMUSG00000120272	
ENSMUSG00000108521	0.325910752155188	16.2667304541487	-5.64130354519729	15.9408197019936	0.992032705837612	-16.9095842190316	3009	0.453971419076105	7	78927515	78930523	TEC	ENSMUSG00000108521	Gm44639
ENSMUSG00000092549	0.790221960705045	16.4338543971708	-4.37826913936349	15.6436324364658	0.991676853285524	-16.2447676642034	1241	0.475423045930701	17	91100194	91101434	processed_pseudogene	ENSMUSG00000092549	Gm20491
ENSMUSG00000049489	40.0598632857419	5.83173583121826	2.78016022324099	34.2281274545236	0.991464971613289	34.3408503084884	1224	0.533496732026144	11	78641332	78642555	protein_coding	ENSMUSG00000049489	Ccnq
ENSMUSG00000114285	43.9103934284311	6.52273346702207	2.75101387758147	37.387659961409	0.991261239236139	37.4887342376959	469	0.526652452025586	19	36338743	36339211	processed_pseudogene	ENSMUSG00000114285	Gm47773
ENSMUSG00000022325	2.58409869100122	21.4960878069976	-3.05634104447613	18.9119891159964	0.991046641132209	-19.1573628901192	3795	0.508036890645586	15	34495450	34530794	protein_coding	ENSMUSG00000022325	Pop1
ENSMUSG00000032968	1.99457380318975	18.6660731961357	-3.22626604591844	16.6714993929459	0.990940700296091	-16.980803414681	1475	0.59728813559322	1	75483721	75487010	protein_coding	ENSMUSG00000032968	Inha
ENSMUSG00000113183	1.4636797809477	16.7416825653566	-3.51577266311343	15.2780027844089	0.990880938798794	-15.6773092876011	1340	0.388805970149254	13	20684058	20685397	lncRNA	ENSMUSG00000113183	Gm47664
ENSMUSG00000023074	23.0468140088792	2.93444795782575	2.97340629891792	20.1123660510534	0.990867356640317	20.3309717719053	2085	0.470023980815348	X	52433475	52459379	protein_coding	ENSMUSG00000023074	Mospd1
ENSMUSG00000024245	0.490332726617481	14.4300094152516	-4.87916737529618	13.9396766886342	0.99084834161845	-14.7689153447301	1696	0.532429245283019	17	81252061	81309245	protein_coding	ENSMUSG00000024245	Tmem178
ENSMUSG00000105469	2.81530752124869	22.4436127300692	-2.99494049981199	19.6283052088205	0.990818460869801	-19.8554786889671	1045	0.416267942583732	3	126760124	126761168	TEC	ENSMUSG00000105469	A930036I15Rik
ENSMUSG00000019945	17.0955942719248	1.6160390892939	3.40309057416116	15.4795551826309	0.990815744438106	15.8492161985399	1262	0.422345483359746	10	68266783	68377726	protein_coding	ENSMUSG00000019945	Cabcoco1
ENSMUSG00000120648	3.1231383860986	23.8151323116538	-2.93081016239227	20.6919939255552	0.990652758536387	-20.8985229340065	942	0.412951167728238	6	31076849	31103456	lncRNA	ENSMUSG00000120648	
ENSMUSG00000102136	1.15281989016649	15.1839284024644	-3.71930605719856	14.0311085122979	0.990383831798549	-14.5156895678776	2552	0.431818181818182	2	4182921	4185472	lncRNA	ENSMUSG00000102136	Gm37107
ENSMUSG00000014470	3.45826608193689	24.6582327136189	-2.83394862313968	21.199966631682	0.990117621492408	-21.3885448308908	1985	0.596977329974811	8	123192886	123202803	protein_coding	ENSMUSG00000014470	Rnf166
ENSMUSG00000108819	1.700330218006	16.3544276626548	-3.26579441010508	14.6540974446488	0.990060576426806	-15.0135933422461	2307	0.354139575205895	7	90789172	90791478	TEC	ENSMUSG00000108819	Gm45177
ENSMUSG00000074622	14.8718222167657	1.21287025316021	3.61608429749536	13.6589519636055	0.990041561404938	14.1295093471314	3363	0.555456437704431	2	160205623	160208985	protein_coding	ENSMUSG00000074622	Mafb
ENSMUSG00000064452	52.3021575058646	285.521786296446	-2.44865846725489	233.219628790581	0.990027979246462	-233.232483118252	75	0.44	12	109597508	109597582	snoRNA	ENSMUSG00000064452	Gm24564
ENSMUSG00000105622	14.5483336468923	1.12057215971918	3.69854645768734	13.4277614871731	0.989957352022383	13.9278147767724	1820	0.367032967032967	5	51648439	51650258	TEC	ENSMUSG00000105622	Gm42615
ENSMUSG00000040771	20.1420375503971	2.61802481474827	2.94365895552387	17.5240127356489	0.989672126694374	17.7695287052195	1558	0.475609756097561	17	48717042	48724294	protein_coding	ENSMUSG00000040771	Oard1
ENSMUSG00000001128	0.564899454628434	12.9227273257937	-4.51577266311343	12.3578278711653	0.989522722951131	-13.1570556143186	1736	0.503456221198157	X	20791693	20797794	protein_coding	ENSMUSG00000001128	Cfp
ENSMUSG00000105962	12.7359149770774	0.630625024950185	4.33597637830263	12.1052899521272	0.989237497623122	12.8584110985094	1617	0.382807668521954	9	109870248	109871864	TEC	ENSMUSG00000105962	Gm42432
ENSMUSG00000075707	18.3572843462702	2.51162725454298	2.86965837408009	15.8456570917272	0.988705077010839	16.1034091996861	2030	0.578325123152709	12	110245502	110247531	protein_coding	ENSMUSG00000075707	Dio3
ENSMUSG00000106024	0.871444419343864	12.6860983247828	-3.86369596653374	11.814653905439	0.988688778420667	-12.4303738249143	3376	0.399289099526066	3	153015007	153018382	TEC	ENSMUSG00000106024	A530083M17Rik
ENSMUSG00000103889	1.00238376821291	12.8550816414803	-3.68083190938393	11.8526978732674	0.988601852606416	-12.4110825643896	2935	0.355366269165247	1	25647331	25650265	TEC	ENSMUSG00000103889	Gm37011
ENSMUSG00000021025	31.0645578353932	5.06693498307801	2.61608429749536	25.9976228523152	0.988523076087252	26.1289167594606	1610	0.558385093167702	12	55536195	55539432	protein_coding	ENSMUSG00000021025	Nfkbia
ENSMUSG00000048776	18.1716884478375	2.51938397861507	2.85054955113239	15.6523044692224	0.988504061065384	15.9097538617258	1619	0.476837554045707	6	147153599	147165681	protein_coding	ENSMUSG00000048776	Pthlh
ENSMUSG00000105598	3.57038393168068	23.5129765067288	-2.71930605719856	19.9425925750481	0.988392687365876	-20.1271365088798	824	0.408980582524272	5	132563264	132564087	TEC	ENSMUSG00000105598	Gm43186
ENSMUSG00000102508	1.88444552889116	15.284053016308	-3.01981516845102	13.3996074874169	0.988210686442289	-13.7356748821616	2602	0.410837817063797	1	158362377	158364978	TEC	ENSMUSG00000102508	Gm37367
ENSMUSG00000103869	2.02060189540171	15.7580459960509	-2.96323164008465	13.7374441006492	0.987958058294624	-14.0534021564623	2912	0.397664835164835	14	61904669	61907580	TEC	ENSMUSG00000103869	Gm37420
ENSMUSG00000030220	12.6389220686404	1.19475180473866	3.40309057416116	11.4441702639017	0.987789639529514	11.9394329214212	1707	0.489748096074985	6	136900653	136918897	protein_coding	ENSMUSG00000030220	Arhgdib
ENSMUSG00000056753	12.1986508514895	1.10299693385013	3.46722091158088	11.0956539176394	0.987504414201505	11.6247648023403	1849	0.552731206057328	8	84791865	84793916	lncRNA	ENSMUSG00000056753	C330011M18Rik
ENSMUSG00000107048	1.1012526145255	12.0236574801984	-3.44865846725489	10.9224048656729	0.987230054600277	-11.4539151940917	1781	0.357664233576642	5	150675558	150677338	lncRNA	ENSMUSG00000107048	Gm43807
ENSMUSG00000083626	16.7635120211104	87.1556124226025	-2.37826913936349	70.3921004014921	0.987056202971776	-70.4322650710098	468	0.527777777777778	7	139239604	139240071	processed_pseudogene	ENSMUSG00000083626	Gm4459
ENSMUSG00000097785	10.9418739552018	0.568881821670544	4.26558705041123	10.3729921335313	0.987020889359737	11.2158012949114	3585	0.503765690376569	19	57311625	57349303	lncRNA	ENSMUSG00000097785	B230217O12Rik
ENSMUSG00000109622	0.490332726617481	10.74260020217	-4.45343836812989	10.2522674755526	0.986890500638361	-11.1777502964149	2468	0.342787682333874	8	63652006	63654473	TEC	ENSMUSG00000109622	Gm45517
ENSMUSG00000051730	2.81684783448696	18.411041967647	-2.70841774105583	15.5941941331601	0.986743813326814	-15.8276472453346	2437	0.383258104226508	2	69701542	69715959	protein_coding	ENSMUSG00000051730	Mettl5
ENSMUSG00000040822	17.2313309612345	2.6349371197531	2.70919370188684	14.5963938414814	0.986249422758265	14.8456877136082	1935	0.542635658914729	14	54923673	54928198	protein_coding	ENSMUSG00000040822	1700123O20Rik
ENSMUSG00000105302	0.919948830426793	11.000738885048	-3.57990300053315	10.0807900546212	0.986113601173498	-10.6975713888048	2132	0.418855534709193	3	55238262	55240393	TEC	ENSMUSG00000105302	Gm19817
ENSMUSG00000120764	1.16885036142427	11.5463007398954	-3.30426855791972	10.3774503784712	0.986075571129764	-10.8908065385667	1678	0.51668653158522	6	108634731	108636408	lncRNA	ENSMUSG00000120764	
ENSMUSG00000120224	25.9587914091607	4.49876764122551	2.52862145624502	21.4600237679352	0.986018526064162	21.6084832089003	680	0.539705882352941	15	86097932	86098611	lncRNA	ENSMUSG00000120224	
ENSMUSG00000054519	11.4966641645365	1.1954521281881	3.26558705041123	10.3012120363484	0.985855540162443	10.8064345739759	3412	0.465123094958968	11	59352023	59363300	protein_coding	ENSMUSG00000054519	Zfp867
ENSMUSG00000069272	25.0738326111212	4.34540056254737	2.52862145624502	20.7284320485738	0.985841958003966	20.882093325654	704	0.541193181818182	13	23754691	23755394	protein_coding	ENSMUSG00000069272	H2ac8
ENSMUSG00000104034	2.08800309418374	14.474388436401	-2.79330663864234	12.3863853422173	0.985611061309863	-12.6974447753624	1409	0.364797728885735	2	14678215	14679623	TEC	ENSMUSG00000104034	2900092N22Rik
ENSMUSG00000018821	3.96709325742298	23.1004681469616	-2.54176787164637	19.1333748895387	0.985439926113058	-19.3014667467776	1236	0.530744336569579	19	42111712	42117498	protein_coding	ENSMUSG00000018821	Avpi1
ENSMUSG00000114153	2.06108754357915	14.1449272620289	-2.77880706894722	12.0838397184498	0.985233477304213	-12.3992318740967	2379	0.394283312316099	12	89622493	89624871	TEC	ENSMUSG00000114153	Gm48692
ENSMUSG00000120210	0.490332726617481	9.74114400242201	-4.31225825198267	9.25081127580453	0.985024312063673	-10.2065214687642	2303	0.447676943117673	11	79227826	79230128	lncRNA	ENSMUSG00000120210	
ENSMUSG00000102919	0.252358582922018	9.44671743499747	-5.22626604591844	9.19435885207545	0.98491565479586	-10.5759203610588	3886	0.375193000514668	3	84781198	84785083	TEC	ENSMUSG00000102919	Gm37726
ENSMUSG00000038570	10.2494299042116	0.852609251960242	3.58751514529859	9.39682065225131	0.98491565479586	10.0583548997002	4784	0.394439799331104	7	82282168	82297736	protein_coding	ENSMUSG00000038570	Saxo2
ENSMUSG00000056941	14.4609324070693	2.22768031751928	2.69854645768734	12.2332520895501	0.984445712112569	12.5273544561802	5493	0.477880939377389	2	153458853	153474701	protein_coding	ENSMUSG00000056941	Commd7
ENSMUSG00000053916	19.7714809119952	3.42648073032409	2.52862145624502	16.3450001816711	0.984377801320186	16.5394364295707	1488	0.528897849462366	2	150871605	150881318	protein_coding	ENSMUSG00000053916	Nanp
ENSMUSG00000087692	49.3860300190268	9.78149319275251	2.33597637830263	39.6045368262743	0.984323472686279	39.6733679294272	417	0.398081534772182	11	99278166	99278723	lncRNA	ENSMUSG00000087692	Gm11940
ENSMUSG00000120670	5.47348159945095	29.4058982564446	-2.42557485414185	23.9324166569936	0.984280009779154	-24.0550198590022	1075	0.430697674418605	16	74888691	74889765	lncRNA	ENSMUSG00000120670	
ENSMUSG00000041654	0.875854825753166	10.0180952534584	-3.51577266311343	9.14224042770525	0.984274576915763	-9.7949587776909	3359	0.537660017862459	11	113135679	113540905	protein_coding	ENSMUSG00000041654	Slc39a11
