CeA_mean	dStr_mean	M	D	prob	ranking	Length	GC	Chrom	GeneStart	GeneEnd	Biotype	mgi_symbol
ENSMUSG00000046480	9.78055685280073	325.087701034639	-5.05476855881301	315.307144181838	0.999645361916104	-315.347658715408	4982	0.545363307908471	9	45049693	45065450	protein_coding	Scn4b
ENSMUSG00000119465	352.453773892609	25.5784158903728	3.78443522928394	326.875358002237	0.999100172025936	326.897264624675	79	0.430379746835443	7	59069071	59069149	snoRNA	Gm25449
ENSMUSG00000023868	44.0366387329939	524.556595064576	-3.57432217643463	480.519956331582	0.998904327113934	-480.533249850546	12849	0.495135808234104	17	8744204	9205480	protein_coding	Pde10a
ENSMUSG00000077222	369.141926065555	30.6165887172644	3.59179015134154	338.52533734829	0.998883154691015	338.544391451498	132	0.5	5	108053043	108053174	snoRNA	Gm22270
ENSMUSG00000064360	151.44950239002	1707.13875709712	-3.49467158304683	1555.6892547071	0.998822283975122	-1555.69317988497	348	0.330459770114943	MT	9459	9806	protein_coding	mt-Nd3
ENSMUSG00000025400	80.8239423440236	0.733198423562936	6.78443522928394	80.0907439204607	0.998716421860527	80.3775828394532	1378	0.532656023222061	10	127560347	127567637	protein_coding	Tac2
ENSMUSG00000064351	1882.00212561482	20400.5167337118	-3.43826553269804	18518.514608097	0.998713775307662	-18518.5149272822	1545	0.398705501618123	MT	5328	6872	protein_coding	mt-Co1
ENSMUSG00000064341	1280.17692586281	13744.7368451747	-3.42446416980559	12464.5599193119	0.998674077014688	-12464.5603897238	957	0.376175548589342	MT	2751	3707	protein_coding	mt-Nd1
ENSMUSG00000092035	181.672025496018	15.6090873031321	3.54087819794945	166.062938192886	0.998520576948525	166.100684103549	6667	0.472026398680066	6	4747306	4760517	protein_coding	Peg10
ENSMUSG00000065304	383.037064325619	37.4202750988787	3.35559193048006	345.61678922674	0.998464999338362	345.633078556733	135	0.437037037037037	5	129866603	129866737	snoRNA	Gm23245
ENSMUSG00000067719	128.727915568729	9.80919832689054	3.71404590139254	118.918717241839	0.998430594151118	118.976701279713	309	0.485436893203884	5	24786552	24786860	processed_pseudogene	Gm10221
ENSMUSG00000064370	1503.80423569877	14777.2143004981	-3.29668565289362	13273.4100647994	0.998420007939659	-13273.4104741944	1144	0.390734265734266	MT	14145	15288	protein_coding	mt-Cytb
ENSMUSG00000001260	95.5374125953661	5.52102419491653	4.11305797674531	90.0163884004496	0.998335318247982	90.1103069941539	7869	0.349091371203457	5	70908390	70999960	protein_coding	Gabrg1
ENSMUSG00000064363	763.497598214081	7227.87005948342	-3.24287504633087	6464.37246126934	0.998218869921927	-6464.37327466909	1378	0.356313497822932	MT	10167	11544	protein_coding	mt-Nd4
ENSMUSG00000036357	88.2297802086595	5.6026659575031	3.97708030722633	82.6271142511564	0.998171231970359	82.7227730268019	5410	0.473197781885397	X	56542028	56549117	protein_coding	Gpr101
ENSMUSG00000077274	171.171197566698	16.5630725847496	3.36939773000509	154.608124981948	0.99813947333598	154.644835515114	122	0.483606557377049	1	86015023	86015144	snoRNA	Gm22786
ENSMUSG00000051323	119.836352191896	10.2347885448195	3.54951241299135	109.601563647076	0.998120947465926	109.659025129052	10464	0.463398318042813	X	132483609	132589736	protein_coding	Pcdh19
ENSMUSG00000064354	2.90767002271472	70.9015738715597	-4.60788219349482	67.993903848845	0.997956861188302	-68.1498608869828	684	0.385964912280702	MT	7013	7696	protein_coding	mt-Co2
ENSMUSG00000096887	4.42950177179703	76.5073775963712	-4.11038253402401	72.0778758245742	0.997935688765383	-72.1949820137019	449	0.349665924276169	6	79794899	79795347	protein_coding	Gm20594
