CeA_Ctrl	CeA_Mor	dStr_Ctrl	dStr_Mor	NAc_Ctrl	NAc_Mor	ensembl_gene_id	mgi_symbol	SYMBOL	GENENAME
Xkr4	271	288	281	228	330	214	ENSMUSG00000051951	Xkr4	Xkr4	X-linked Kx blood group related 4
Mrpl15	86	139	162	86	142	118	ENSMUSG00000033845	Mrpl15	Mrpl15	mitochondrial ribosomal protein L15
Lypla1	64	47	43	24	49	70	ENSMUSG00000025903	Lypla1	Lypla1	lysophospholipase 1
Tcea1	175	98	157	149	174	177	ENSMUSG00000033813	Tcea1	Tcea1	transcription elongation factor A (SII) 1
Rgs20	73	67	137	131	73	68	ENSMUSG00000002459	Rgs20	Rgs20	regulator of G-protein signaling 20
Atp6v1h	612	578	598	504	591	496	ENSMUSG00000033793	Atp6v1h	Atp6v1h	ATPase, H+ transporting, lysosomal V1 subunit H
Oprk1	100	171	310	238	321	283	ENSMUSG00000025905	Oprk1	Oprk1	opioid receptor, kappa 1
Npbwr1	24	35	3	0	3	9	ENSMUSG00000033774	Npbwr1	Npbwr1	neuropeptides B/W receptor 1
Rb1cc1	794	643	609	690	830	520	ENSMUSG00000025907	Rb1cc1	Rb1cc1	RB1-inducible coiled-coil 1
St18	16	23	59	35	58	44	ENSMUSG00000033740	St18	St18	suppression of tumorigenicity 18
Pcmtd1	461	475	707	544	629	478	ENSMUSG00000051285	Pcmtd1	Pcmtd1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1
Sntg1	138	165	204	144	185	139	ENSMUSG00000025909	Sntg1	Sntg1	syntrophin, gamma 1
Rrs1	33	47	28	8	36	5	ENSMUSG00000061024	Rrs1	Rrs1	ribosome biogenesis regulator 1
Adhfe1	9	12	4	8	26	24	ENSMUSG00000025911	Adhfe1	Adhfe1	alcohol dehydrogenase, iron containing, 1
Vxn	66	45	54	41	52	41	ENSMUSG00000067879	Vxn	Vxn	vexin
Mybl1	7	22	5	9	13	9	ENSMUSG00000025912	Mybl1	Mybl1	myeloblastosis oncogene-like 1
Vcpip1	588	577	481	401	542	447	ENSMUSG00000045210	Vcpip1	Vcpip1	valosin containing protein (p97)/p47 complex interacting protein 1
Sgk3	103	104	301	310	234	164	ENSMUSG00000025915	Sgk3	Sgk3	serum/glucocorticoid regulated kinase 3
Snhg6	41	57	40	46	43	43	ENSMUSG00000098234	Snhg6	Snhg6	small nucleolar RNA host gene 6
Mcmdc2	22	11	18	23	28	8	ENSMUSG00000046101	Mcmdc2	Mcmdc2	minichromosome maintenance domain containing 2
Cops5	169	126	135	149	140	140	ENSMUSG00000025917	Cops5	Cops5	COP9 signalosome subunit 5
Cspp1	207	251	389	389	341	231	ENSMUSG00000056763	Cspp1	Cspp1	centrosome and spindle pole associated protein 1
Arfgef1	585	561	652	636	731	636	ENSMUSG00000067851	Arfgef1	Arfgef1	ADP-ribosylation factor guanine nucleotide-exchange factor 1(brefeldin A-inhibited)
Prex2	166	200	275	174	264	162	ENSMUSG00000048960	Prex2	Prex2	phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 2
A830018L16Rik	406	304	263	181	355	340	ENSMUSG00000057715	A830018L16Rik	A830018L16Rik	RIKEN cDNA A830018L16 gene
Sulf1	87	60	32	28	125	105	ENSMUSG00000016918	Sulf1	Sulf1	sulfatase 1
Slco5a1	55	45	112	43	106	70	ENSMUSG00000025938	Slco5a1	Slco5a1	solute carrier organic anion transporter family, member 5A1
Ncoa2	553	580	495	541	580	523	ENSMUSG00000005886	Ncoa2	Ncoa2	nuclear receptor coactivator 2
Tram1	87	88	32	57	92	65	ENSMUSG00000025935	Tram1	Tram1	translocating chain-associating membrane protein 1
Lactb2	60	77	78	31	58	27	ENSMUSG00000025937	Lactb2	Lactb2	lactamase, beta 2
Eya1	37	26	38	23	23	12	ENSMUSG00000025932	Eya1	Eya1	EYA transcriptional coactivator and phosphatase 1
Kcnb2	128	132	107	82	156	172	ENSMUSG00000092083	Kcnb2	Kcnb2	potassium voltage gated channel, Shab-related subfamily, member 2
Terf1	64	108	118	100	124	52	ENSMUSG00000025925	Terf1	Terf1	telomeric repeat binding factor 1
Sbspon	3	8	11	2	5	12	ENSMUSG00000032719	Sbspon	Sbspon	somatomedin B and thrombospondin, type 1 domain containing
Rpl7	316	318	225	162	238	274	ENSMUSG00000043716	Rpl7	Rpl7	ribosomal protein L7
Rdh10	31	58	48	40	75	57	ENSMUSG00000025921	Rdh10	Rdh10	retinol dehydrogenase 10 (all-trans)
Stau2	405	305	346	299	299	270	ENSMUSG00000025920	Stau2	Stau2	staufen double-stranded RNA binding protein 2
Ube2w	219	239	247	192	193	258	ENSMUSG00000025939	Ube2w	Ube2w	ubiquitin-conjugating enzyme E2W (putative)
Eloc	262	145	193	149	196	217	ENSMUSG00000079658	Eloc	Eloc	elongin C
Tmem70	90	81	45	47	73	81	ENSMUSG00000025940	Tmem70	Tmem70	transmembrane protein 70
Jph1	65	72	59	82	61	43	ENSMUSG00000042686	Jph1	Jph1	junctophilin 1
Gdap1	308	427	402	271	419	313	ENSMUSG00000025777	Gdap1	Gdap1	ganglioside-induced differentiation-associated-protein 1
Gm16070	14	14	12	13	5	16	ENSMUSG00000085125	Gm16070	Gm16070	predicted gene 16070
Crispld1	11	15	61	22	17	21	ENSMUSG00000025776	Crispld1	Crispld1	cysteine-rich secretory protein LCCL domain containing 1
