dStr_mean	NAc_mean	M	D	prob	ranking	Length	GC	Chrom	GeneStart	GeneEnd	Biotype	mgi_symbol
ENSMUSG00000077733	235.37577054629	15.1051989657609	3.96184872528695	220.270571580529	0.999169068577809	220.306198164589	128	0.4921875	2	10080464	10080591	snoRNA	Gm23608
ENSMUSG00002076174	192.997224425035	11.4632339977316	4.07349408111586	181.533990427303	0.999127522006699	181.579687835642	253	0.466403162055336	6	140476689	140476941	misc_RNA	Gm55763
ENSMUSG00000059159	4.87746456692976	99.8503293135745	-4.35556388847792	94.9728647466448	0.998551063332554	-95.0726878497242	213	0.488262910798122	6	52323715	52323927	processed_pseudogene	Gm8129
ENSMUSG00000092035	16.0502017599928	178.643277043995	-3.4764182833523	162.593075284003	0.998421230297837	-162.630235855422	6667	0.472026398680066	6	4747306	4760517	protein_coding	Peg10
ENSMUSG00000020953	67.9200769647044	3.22459217414509	4.39664947938723	64.6954847905593	0.997907091480356	64.8447089509243	2998	0.494996664442962	12	51640124	51652554	protein_coding	Coch
ENSMUSG00000075031	12.2704718829453	123.696117514893	-3.33353758214792	111.425645631947	0.997717535249669	-111.475499448569	508	0.56496062992126	13	23930717	23931224	protein_coding	H2bc3
ENSMUSG00000040856	7.1622941766812	81.8569877133404	-3.51461189671455	74.6946935366592	0.997530575679676	-74.7773343956574	5657	0.539862117730246	12	109418749	109429262	protein_coding	Dlk1
ENSMUSG00000118198	46.7751163563146	0.483366366904349	6.59648033955787	46.2917499894102	0.997512399054815	46.7593805556942	844	0.466824644549763	18	85089915	85101669	lncRNA	Gm50370
ENSMUSG00000111626	82.7915129445687	7.45552236870462	3.4731015398251	75.3359905758641	0.997481239126483	75.4160056642661	389	0.401028277634961	9	20368079	20368467	processed_pseudogene	Gm48738
ENSMUSG00000078958	40.5820294045328	0.755259948288046	5.74772391993411	39.8267694562447	0.99699566357664	40.2393823956165	1280	0.421875	13	91031552	91053474	protein_coding	Atp6ap1l
ENSMUSG00000019890	10.8218745078754	95.278947322492	-3.13820705703877	84.4570728146166	0.996707434239568	-84.5153565451054	1248	0.407852564102564	10	102317617	102326347	protein_coding	Nts
ENSMUSG00000038760	4.15559981102416	50.9951517084089	-3.6172314585478	46.8395518973847	0.996616551115266	-46.979016436836	4000	0.385	15	44059531	44099308	protein_coding	Trhr
ENSMUSG00000121092	5.83651658851707	52.5004668173263	-3.16915076424703	46.6639502288093	0.995577886837527	-46.7714417943612	534	0.275280898876405	8	129231424	129231957	lncRNA	
ENSMUSG00000025400	0.753918688502206	27.3603603908122	-5.18153448870287	26.60644170231	0.99544805380281	-27.1062915153667	1378	0.532656023222061	10	127560347	127567637	protein_coding	Tac2
ENSMUSG00000000530	25.5766694113445	0.483366366904349	5.72556750628194	25.0933030444401	0.995318220768092	25.7382202366267	4265	0.558968347010551	15	101026403	101043217	protein_coding	Acvrl1
ENSMUSG00000085093	38.690067206087	4.00027338127738	3.27379273160169	34.6897938248096	0.994996234841993	34.8439308123709	725	0.390344827586207	4	108370978	108374014	lncRNA	Gm12737
ENSMUSG00000046818	25.6518506853343	1.32610800248107	4.27379273160169	24.3257426828532	0.994866401807276	24.6983210236056	2916	0.467078189300412	3	137327373	137334094	protein_coding	Ddit4l
ENSMUSG00000120583	32.4507105132801	3.10846538202154	3.38397564935212	29.3422451312585	0.994723585469087	29.5367337486438	2177	0.470372071658245	18	68140624	68142800	lncRNA	
ENSMUSG00000120148	1.11231258325058	23.8060523314776	-4.41969422589763	22.693739748227	0.994637895666173	-23.1201107439106	934	0.490364025695932	2	130115249	130116182	lncRNA	
ENSMUSG00000066357	9.23355711073107	69.8982831795384	-2.92029858097137	60.6647260688073	0.994515852613539	-60.7349745435483	4163	0.56377612298823	9	108449510	108455938	protein_coding	Wdr6
ENSMUSG00000116809	44.051395055587	5.21277454504691	3.07906433915881	38.8386205105401	0.994489886006595	38.9604810078934	4080	0.341176470588235	16	74827740	74831819	TEC	A630036G19Rik
ENSMUSG00000109791	20.5046043307113	0.483366366904349	5.40668700209904	20.021237963807	0.994328893043546	20.7384240949512	1064	0.325187969924812	8	59115463	59116526	TEC	Gm45636
ENSMUSG00000021125	20.3705873089419	0.676983707148949	4.91122265221699	19.693603601793	0.994173093401885	20.2967517293828	1428	0.46078431372549	12	79177551	79203075	protein_coding	Arg2
ENSMUSG00000109372	20.607902085526	1.21754752368854	4.0811476536593	19.3903545618374	0.993830334190231	19.8151865044147	6352	0.499055415617129	8	36232944	36285201	protein_coding	Gm19410
ENSMUSG00000038112	4.78283437638427	38.7837532142918	-3.0195146853459	34.0009188379075	0.993622601334684	-34.1347323229141	6082	0.428313054916146	9	39498692	39515699	protein_coding	AW551984
