CeA_mean	NAc_mean	M	D	prob	ranking	Length	GC	Chrom	GeneStart	GeneEnd	Biotype	mgi_symbol
ENSMUSG00000064936	229.634575175731	7.47268230433126	4.94156988059655	222.1618928714	0.999364827312426	222.216843999477	130	0.4	1	39612827	39612956	snoRNA	Gm23722
ENSMUSG00000046480	10.1245327584089	108.025407378149	-3.415443436465	97.9008746197399	0.997668386926029	-97.960433365608	4982	0.545363307908471	9	45049693	45065450	protein_coding	Scn4b
ENSMUSG00000032532	48.1173782836186	0.7444051337648	6.01432622303187	47.3729731498538	0.997178774646024	47.7532271681592	1305	0.49272030651341	9	121318890	121324760	protein_coding	Cck
ENSMUSG00000103663	3.05458863939886	57.6527418138317	-4.23833920941838	54.5981531744328	0.99713378324732	-54.7624127418882	337	0.513353115727003	7	79162672	79163008	TEC	2900037B21Rik
ENSMUSG00000096887	4.58528450546733	62.743902644385	-3.77439210965859	58.1586181389176	0.997017334921265	-58.2809651569523	449	0.349665924276169	6	79794899	79795347	protein_coding	Gm20594
ENSMUSG00000063415	47.1229654357187	1.27057939031043	5.21287190241395	45.8523860454083	0.99689559348948	46.1477555199398	5352	0.523355754857997	6	84548396	84570890	protein_coding	Cyp26b1
ENSMUSG00000064360	156.77588416179	1191.97872044089	-2.92658291958831	1035.2028362791	0.996768558951965	-1035.20697308696	348	0.330459770114943	MT	9459	9806	protein_coding	mt-Nd3
ENSMUSG00000091313	3.98990841657913	50.8316180003929	-3.67129861669449	46.8417095838137	0.996321291517798	-46.9853614465962	516	0.484496124031008	6	39630384	39630899	processed_pseudogene	Fth-ps2
ENSMUSG00000032348	49.5996671880903	3.83668522734227	3.6923981281445	45.762981960748	0.996300119094879	45.9117013611614	1266	0.484992101105845	9	78090056	78116631	protein_coding	Gsta4
ENSMUSG00000064346	61.4564997896964	449.47626397694	-2.87060742491789	388.019764187244	0.99614397247585	-388.030382556459	67	0.402985074626866	MT	4950	5016	Mt_tRNA	mt-Tw
ENSMUSG00000109372	33.384076279022	1.22348702715751	4.7700894126522	32.1605892518644	0.995707291253143	32.5124169207987	6352	0.499055415617129	8	36232944	36285201	protein_coding	Gm19410
ENSMUSG00000078958	31.3644206934525	0.758944296533644	5.36899110433123	30.6054763969188	0.995625248114331	31.072837832434	1280	0.421875	13	91031552	91053474	protein_coding	Atp6ap1l
ENSMUSG00000111997	1.67790769596971	32.4607959919198	-4.2739631191491	30.7828882959501	0.995394998015085	-31.0781751810622	1227	0.393643031784841	10	111336600	111337826	transcribed_processed_pseudogene	Gm5176
ENSMUSG00000064341	1325.19992649966	8974.48061947445	-2.75961841968127	7649.28069297479	0.995130342728596	-7649.28119076627	957	0.376175548589342	MT	2751	3707	protein_coding	mt-Nd1
ENSMUSG00000064357	1.51159525914452	29.9565678279359	-4.30872853730978	28.4449725687914	0.995119756517136	-28.7694561305479	681	0.359765051395007	MT	7927	8607	protein_coding	mt-Atp6
ENSMUSG00000109108	2.79980880728218	33.4678609096976	-3.57937612725345	30.6680521024154	0.994886859865026	-30.8762263435287	1103	0.43064369900272	7	6159515	6160617	lncRNA	Gm36371
ENSMUSG00000064351	1948.19093216826	12764.0185120584	-2.71187562553848	10815.8275798901	0.994759825327511	-10815.8279198673	1545	0.398705501618123	MT	5328	6872	protein_coding	mt-Co1
ENSMUSG00000064363	790.349318594416	5158.97067010341	-2.70652090275608	4368.621351509	0.994759825327511	-4368.62218990332	1378	0.356313497822932	MT	10167	11544	protein_coding	mt-Nd4
ENSMUSG00000108819	1.78482249064138	28.6339451973508	-4.00387395578136	26.8491227067094	0.994728066693132	-27.1460199066774	2307	0.354139575205895	7	90789172	90791478	TEC	Gm45177
ENSMUSG00000058260	1.40092048377438	26.9699965583649	-4.26690836161515	25.5690760745905	0.99465131666005	-25.9226572379187	3674	0.501088731627654	12	103961002	103980014	protein_coding	Serpina9
ENSMUSG00000085628	1.9968891784237	28.2671784547933	-3.82330171013954	26.2702892763696	0.9945269286754	-26.5470475690028	1031	0.572259941804074	11	85125601	85129130	lncRNA	Appbp2os
ENSMUSG00000062319	4.19135330406114	37.9719361392729	-3.17944552036481	33.7805828352117	0.994452825195183	-33.9298784333744	1228	0.382736156351792	2	6955264	6956491	lncRNA	Gm10115
ENSMUSG00000105791	1.57400056800828	25.9944223889199	-4.04569413147599	24.4204218209116	0.994362842397777	-24.7532753977472	1308	0.351681957186544	5	49135620	49136927	TEC	Gm43341
ENSMUSG00000064370	1556.69206525868	10011.6959509165	-2.68513088987406	8455.00388565786	0.994346963080588	-8455.00431202832	1144	0.390734265734266	MT	14145	15288	protein_coding	mt-Cytb
ENSMUSG00000059159	14.4985404433439	100.337424368016	-2.79088023244716	85.8388839246721	0.99429403202329	-85.8842418951533	213	0.488262910798122	6	52323715	52323927	processed_pseudogene	Gm8129
